name			E_u		A			g
o-H2O9_45-9_36 	1957.1 	1.896e-01 	57
o-H2O4_23-4_14 	432.2 	8.084e-02 	27
o-H2O8_36-7_43 	1447.6 	1.389e-02 	51
o-H2O5_14-5_05 	574.7 	7.579e-02 	33
o-H2O3_30-3_21 	410.7 	6.619e-02 	21
o-H2O5_23-4_32 	642.4 	1.118e-02 	33
o-H2O8_45-7_52 	1615.4 	6.748e-03 	51
o-H2O6_34-7_07 	933.7 	3.660e-04 	39
o-H2O5_32-5_23 	732.1 	8.174e-02 	33
o-H2O7_34-7_25 	1212.0 	9.234e-02 	45
o-H2O3_03-2_12 	196.8 	5.048e-02 	21
o-H2O4_32-5_05 	550.4 	2.499e-04	27
o-H2O2_12-1_01 	114.4 	5.593e-02 	15
o-H2O2_21-2_12 	194.1 	3.058e-02 	15
o-H2O8_54-9_27 	1805.9 	2.999e-04 	51
o-H2O6_43-7_16 	1088.8 	2.890e-04 	39
o-H2O5_23-5_14 	642.4 	4.314e-02 	33
o-H2O6_25-5_32 	795.5 	2.217e-03 	39
o-H2O8_45-9_18 	1615.4 	2.422e-04 	51
o-H2O8_27-7_34 	1274.2 	9.542e-04 	51
o-H2O7_43-6_52 	1339.9 	1.414e-03 	45
o-H2O8_54-7_61 	1805.9 	8.338e-04 	51
o-H2O3_21-3_12 	305.3 	2.288e-02 	21
o-H2O6_34-5_41 	933.7 	1.333e-03 	39
o-H2O3_12-2_21 	249.4 	2.634e-03 	21
o-H2O7_25-8_18 	1125.7 	9.343e-05 	45
o-H2O3_12-3_03 	249.4 	1.648e-02 	21
o-H2O5_32-4_41 	732.1 	1.039e-04 	33
o-H2O1_10-1_01 	61.0 	3.458e-03 	9
o-H2O4_23-3_03 	432.2 	5.263e-05 	27
p-H2O6_51-7_26 	1278.6 	4.249e-04 	13
p-H2O7_71-7_62 	2006.9 	4.590e-01 	15
p-H2O10_19-10_010 	1860.4 	5.375e-01 	21
p-H2O4_31-3_22 	552.3 	1.452 		9
p-H2O9_19-8_08 	1324.0 	2.486 		19
p-H2O4_22-3_13 	454.3 	3.785e-01 	9
p-H2O8_17-7_26 	1270.3 	1.629 		17
p-H2O6_42-7_17 	1090.3 	4.170e-04 	13
p-H2O7_26-6_15 	1021.0 	1.338 		15
p-H2O8_26-7_35 	1414.2 	7.068e-01 	17
p-H2O7_62-8_35 	1749.9 	3.484e-04 	15
p-H2O4_31-4_04 	552.3 	2.451e-02 	9
p-H2O4_40-5_15 	702.3 	1.121e-04 	9
p-H2O9_28-9_19 	1554.5 	4.280e-01 	19
p-H2O8_08-7_17 	1070.6 	1.742 		17
p-H2O7_62-7_53 	1749.9 	5.847e-01 	15
p-H2O3_31-2_20	410.4 	1.222 		7
p-H2O5_24-4_13 	598.8 	6.679e-01 	11
p-H2O7_17-6_06 	843.8 	1.178 		15
p-H2O5_51-6_24 	1067.7 	2.480e-01 	11
p-H2O8_17-8_08 	1270.3 	3.110e-01 	17
p-H2O9_37-9_28 	1749.9 	5.047e-01 	19
p-H2O5_51-5_42 	1067.7 	2.480e-01 	11
p-H2O7_53-7_44 	1524.6 	4.974e-01 	15
p-H2O6_51-6_42 	1278.6 	3.886e-01 	13
p-H2O6_15-5_24 	781.1 	4.526e-01 	13
p-H2O9_46-9_37 	1929.3 	5.213e-01 	19
p-H2O8_53-8_44 	1807.0 	4.866e-01 	17
p-H2O7_26-7_17 	1021.0 	2.430e-01 	15
p-H2O8_35-7_44 	1511.0 	1.040e-01 	15
p-H2O6_06-5_15 	642.7 	7.132e-01 	13
p-H2O3_22-2_11 	296.8 	3.524e-01 	7
p-H2O7_44-7_35 	1334.8 	3.587e-01 	15
p-H2O5_42-5_33 	877.8 	2.375e-01 	11
p-H2O5_15-4_04 	469.9 	4.460e-01 	11
p-H2O4_40-4_31 	702.3 	1.480e-01 	9
p-H2O9_37-10_010 	1749.9 	8.327e-04 	19
p-H2O8_26-8_17 	1414.2 	2.374e-01 	17
p-H2O2_20-1_11 	195.9 	2.607e-01 	5
p-H2O6_24-5_33 	867.3 	6.891e-02 	13
p-H2O6_42-6_33 	1090.3 	2.272e-01  	13
p-H2O6_15-6_06 	781.1 	1.360e-01 	13
p-H2O5_24-5_15 	598.8 	1.205e-01 	11
p-H2O5_33-5_24 	725.1 	1.653e-01 	11
p-H2O9_46-8_53 	1939.4 	2.088e-02 	19
p-H2O9_37-8_44 	1749.9 	1.724e-02 	19
p-H2O8_44-8_35 	1628.4 	1.974e-01 	17
p-H2O4_04-3_13 	319.5 	1.727e-01 	9
p-H2O3_31-3_22 	410.4 	7.848e-02 	7
p-H2O7_53-8_26 	1524.6 	4.122e-04 	15
p-H2O7_35-8_08 	1175.1 	4.751e-04 	15
p-H2O3_13-2_02 	204.7 	1.251e-01 	7
p-H2O8_44-7_53 	1628.4 	1.056e-02 	17
p-H2O4_13-3_22 	396.4 	3.316e-02 	9
p-H2O4_31-4_22 	552.3 	8.187e-02 	9
p-H2O8_35-8_26 	1511.0 	1.235e-01 	17
p-H2O5_42-6_15 	877.8 	2.956e-04 	11
p-H2O3_22-3_13 	296.8 	5.246e-02 	7
p-H2O3_31-4_04 	410.4 	1.630e-04 	7
p-H2O8_26-9_19 	1414.2 	2.755e-04 	17
p-H2O6_24-6_15 	867.3 	7.508e-02 	13
p-H2O7_35-6_42 	1175.1 	6.358e-03 	15
p-H2O6_33-6_24 	951.8 	8.175e-02 	13
p-H2O5_33-6_06 	725.1 	2.984e-04 	11
p-H2O4_13-4_04 	396.4 	3.726e-02 	9
p-H2O6_33-5_42 	951.8 	3.422e-03 	13
p-H2O7_26-6_33 	1021.0 	2.131e-03 	15
p-H2O9_46-10_19 1929.3 	2.969e-04 	19
p-H2O7_44-8_17 	1334.8 	2.462e-04 	15
p-H2O2_20-2_11 	195.951 1.871e-02 	5
p-H2O4_22-4_13 	454.3 	2.863e-02 	9
p-H2O8_53-7_62 	1807.0 	8.839e-04 	17
p-H2O7_44-6_51 	1334.8 	1.080e-03 	15
p-H2O1_11-0_00 	53.4 	1.842e-02 	3
p-H2O2_02-1_11 	100.8 	5.835e-03 	5
p-H2O5_24-4_31 	598.8 	8.715e-04	11
p-H2O4_22-3_31 	454.3 	5.519e-04 	9
p-H2O9_28-8_35 	1554.5 	1.884e-04	19
p-H2O2_11-2_02 	136.9 	7.062e-03 	5
p-H2O6_24-7_17 	867.3 	1.224e-05 	13
p-H2O5_33-4_40 	725.1 	4.534e-05 	11
p-H2O6_42-5_51 	1090.3 	3.183e-05 	13
o-H2OB2B707-616	843.5	1.157		45
OI3P0-3P1		326.579	1.75e-5		1
OI3P1-3P2		227.712	8.91e-5		3
OIR1A3P0-3P1	0		0			0
