4.282749e+14 	 9.016874e-01 	 1.330675e+04 	 6.317000e-01 
5.450772e+14 	 8.757034e-01 	 1.579378e+04 	 6.395000e-01 
6.907660e+14 	 8.289707e-01 	 1.891308e+04 	 6.444000e-01 
9.084620e+14 	 7.193980e-01 	 2.331098e+04 	 6.667000e-01 
1.153048e+15 	 6.487324e-01 	 2.767692e+04 	 6.834000e-01 
1.362693e+15 	 6.341769e-01 	 3.111510e+04 	 6.805000e-01 
1.498962e+15 	 6.067310e-01 	 3.312655e+04 	 6.905000e-01 
1.665514e+15 	 6.133273e-01 	 3.439735e+04 	 6.983000e-01 
2.141375e+15 	 4.131927e-01 	 4.656739e+04 	 6.976000e-01 
2.997925e+15 	 1.609401e-01 	 5.672599e+04 	 7.752000e-01 
3.287198e+15 	 1.184460e-01 	 6.285312e+04 	 7.988000e-01 
