                Line             LabWL(um)             ObsWL(um)           Sig_Cen(um)            Str(W/cm2)        Sig_str(W/cm2)              FWHM(um)          Sig_FWHM(um)        Base(W/cm2/um)       Noise(W/cm2/um)                   SNR                E_u(K)                A(s-1)                     g               RA(deg)              Dec(deg)                 Blend              Validity
      o-H2O3_21-3_12           257.8011475           257.8449981          0.1439437048       9.644519342e-21       9.262304708e-21          0.4667645486          0.3388461048       1.044425242e-18       3.764014918e-21           5.159287824           305.3000000         0.02288000000                    21           180.4010925          -65.14799500                     x                     1
           HCO+13-12           258.7320557           258.7771301          -999.0000000      -7.042728049e-21       5.775594233e-21          0.6306551483          -999.0000000       1.028171737e-18       3.635612059e-21           2.886887139           389.3800000          0.1346700000                    27           180.4010925          -65.14799500                   Red                     0
      o-H2O6_34-5_41           258.8222046           259.1298801          0.1805307823      -9.597177051e-21       9.994663106e-21          0.5398208643          0.4249666550       1.022134916e-18       3.629188252e-21           4.604078418           933.7000000        0.001333000000                    39           180.4010925          -65.14799500              Red/Blue                     0
      o-H2O7_25-8_18           261.4637756           261.4547372          0.1540009606      -1.487903463e-20       5.922101733e-21          0.6440424951          -999.0000000       9.825818924e-19       3.506568930e-21           6.192075145           1125.700000       9.343000000e-05                    45           180.4010925          -65.14799500                     x                     0
      p-H2O1_11-0_00           269.2790833           269.3013866         0.06102736880       3.161923530e-20       1.074376550e-20          0.5592909662          0.1436568759       8.609414267e-19       2.866242594e-21           18.53783362           53.40000000         0.01842000000                     3           180.4010925          -65.14799500                     x                     1
           HCO+12-11           280.2671204           279.7834873          -999.0000000       1.098839001e-21       4.364326437e-21          0.7400069013          -999.0000000       7.296338412e-19       2.745727843e-21          0.5082754990           333.7700000          0.1056200000                    25           180.4010925          -65.14799500                     x                     0
               CO9-8           289.1275940           289.1258217        0.007643709327       6.629825047e-20       2.736770211e-21          0.5766237426         0.01799333676       6.289309454e-19       2.516342561e-21           42.94357063           248.8800000       7.330000000e-05                    19           180.4010925          -65.14799500                     x                     1
           HCO+11-10           305.7195129           305.5288352          0.1023720790       1.114701241e-20       2.157217320e-21          0.8805170813          -999.0000000       4.857775309e-19       2.001992883e-21           5.943147897           282.4300000         0.08107000000                    23           180.4010925          -65.14799500                     x                     0
      p-H2O5_24-4_31           308.9717407           309.0201625          0.1644959467       5.013388465e-21       3.741143821e-21          0.6864213090          0.3872199401       4.609479047e-19       1.997975435e-21           3.435649283           598.8000000       0.0008715000000                    11           180.4010925          -65.14799500                     x                     1
               CO8-7           325.2333374           325.2680291        0.007508553241       6.815622835e-20       2.177489932e-21          0.7318611358         0.01767504292       3.700423752e-19       1.830648528e-21           47.81126793           199.1100000       5.134000000e-05                    17           180.4010925          -65.14799500                     x                     1
      p-H2O4_22-3_31           327.2312622           327.3128210          0.2239798858       1.290670336e-20       4.769977861e-21           1.008790636          -999.0000000       3.602809968e-19       1.815401771e-21           6.623688484           454.3000000       0.0005519000000                     9           180.4010925          -65.14799500                     x                     0
      p-H2O9_28-8_35           330.8298340           331.2782536          0.4097192910      -7.470368026e-21       4.941064241e-21           1.031100034          -999.0000000       3.418264655e-19       1.797028665e-21           3.789174095           1554.500000       0.0001884000000                    19           180.4010925          -65.14799500                     x                     0
            HCO+10-9           336.2653198           336.0556560           1.725758893       1.428784955e-21       8.858809197e-21          0.8669674053           4.062439404       3.196399568e-19       1.650174004e-21          0.9386263137           235.3700000         0.06066700000                    21           180.4010925          -65.14799500                     x                     1
             13CO8-7           340.1897888           340.6440284          0.5243819244       6.744282215e-21       5.399373436e-21           1.090269881          -999.0000000       3.008238312e-19       1.301517697e-21           4.466938884           190.3600000       4.487000000e-05                    17           180.4010925          -65.14799500                     x                     0
              CH+1-0           358.9989319           358.9197338          0.9447848420      -3.564140806e-21       4.616393355e-21           1.214165197          -999.0000000       2.419255194e-19       8.083761143e-22           3.412887463           27.85500000        0.006399800000                     3           180.4010925          -65.14799500                     x                     0
             HCO+9-8           373.6019592           374.4613486          -999.0000000      -2.960175777e-21       4.866229956e-21           1.314951568          -999.0000000       2.021346093e-19       7.686941165e-22           2.752406367           192.5800000         0.04400600000                    19           180.4010925          -65.14799500                     x                     0
             13CO7-6           388.7528076           389.6833126          -999.0000000      -3.200863307e-21       8.105174009e-22           1.423765760          -999.0000000       1.691124978e-19       5.843159612e-22           3.616089755           148.0600000       2.991000000e-05                    15           180.4010925          -65.14799500                     x                     0
      p-H2O2_11-2_02           398.6525879           398.6620691         0.05783972823       6.567711321e-21       1.145704217e-21           1.032514079          0.1361543706       1.525363741e-19       5.697975901e-22           10.49194083           136.9000000        0.007062000000                     5           180.4010925          -65.14799500                     x                     1
             HCO+8-7           420.2752075           420.3376481           2.275696207       7.480008789e-22       3.162242709e-21          0.8960117524          -999.0000000       1.157335570e-19       3.734087214e-22           2.101175425           154.0700000         0.03071100000                    17           180.4010925          -65.14799500                     x                     0
               CO6-5           433.5671387           433.5799491        0.003653186255       5.195094576e-20       4.513438543e-22           1.309423262        0.008599549221       1.011463997e-19       2.909544359e-22           128.1583157           116.1600000       2.137000000e-05                    13           180.4010925          -65.14799500                     x                     1
             13CO6-5           453.5090637           453.9266740          0.1086118697       1.976080842e-21       3.875307527e-22           1.724652679          0.2556707225       8.184702210e-20       2.340264297e-22           4.601469219           111.0500000       1.868000000e-05                    13           180.4010925          -65.14799500                     x                     1
             HCO+7-6           480.2881165           479.9427594          0.2335831335       4.305051909e-22       1.430420342e-22           1.170172388          -999.0000000       6.332262803e-20       1.685948332e-22           2.050891349           119.8400000         0.02040200000                    15           180.4010925          -65.14799500                     x                     0
      o-H2O5_32-4_41           483.0021362           483.6491849          0.2233687897       4.449729841e-22       1.397991079e-22           1.183434611          -999.0000000       6.122564220e-20       1.729119009e-22           2.043726895           732.1000000       0.0001039000000                    33           180.4010925          -65.14799500                     x                     0
               CO5-4           520.2441406           520.1812125        0.008379655617       4.603378278e-20       6.397247157e-22           1.877730809         0.01972560668       4.443461023e-20       3.166131741e-22           72.77340877           82.97000000       1.221000000e-05                    11           180.4010925          -65.14799500                     x                     1
      o-H2O1_10-1_01           538.3023682           538.2590624         0.05124736892       7.772540406e-21       6.729922404e-22           1.843095582          0.1206357003       3.794175066e-20       3.199025249e-22           12.38955849           61.00000000        0.003458000000                     9           180.4010925          -65.14799500                     x                     1
             13CO5-4           544.1744385           543.8103745          0.3162639226       3.100044046e-21       1.484245079e-21           2.057032482          0.7444820822       3.612046630e-20       3.152431069e-22           4.493031708           79.33000000       1.067000000e-05                    11           180.4010925          -65.14799500                     x                     1
             HCO+6-5           560.3091431           560.3500766          0.3597320534       2.368229849e-21       4.794581622e-22           2.957650724          -999.0000000       3.173938689e-20       2.478047876e-22           3.036866072           89.88000000         0.01271100000                    13           180.4010925          -65.14799500                     x                     0
      p-H2O5_33-4_40           631.5709839           633.8475361           7.006574312      -1.486990599e-21       4.614893778e-21           3.757818546          -999.0000000       1.810143144e-20       1.777691646e-22           2.092061050           725.1000000       4.534000000e-05                    11           180.4010925          -65.14799500                   Red                     0
      p-H2O6_42-5_51           636.6680298           634.1722991          -999.0000000      -1.378884576e-21       4.647685715e-21           3.818717681          -999.0000000       1.804153745e-20       1.834244607e-22           1.850169334           1090.300000       3.183000000e-05                    13           180.4010925          -65.14799500              Red/Blue                     0
               CO4-3           650.2678833           650.2828864         0.01499258379       4.128831785e-20       6.530348741e-22           2.951818452         0.03529221040       1.568093311e-20       2.052925411e-22           64.03578585           55.32000000       6.126000000e-06                     9           180.4010925          -65.14799500                     x                     1
      o-H2O3_12-2_21           259.9887390           259.9887390          -998.0000000       1.839433861e-20       2.908151338e-21          0.4898433383          -998.0000000       1.007194645e-18       3.542835872e-21           9.961719414           249.4000000        0.002634000000                    21           180.4010925          -65.14799500        DoubleGaussian                     1
              CO10-9           260.2463379           260.2463379          -998.0000000       9.629204725e-20       2.911038864e-21          0.4898433383          -998.0000000       1.002858219e-18       3.542835872e-21           52.14834721           304.1600000       0.0001006000000                    21           180.4010925          -65.14799500        DoubleGaussian                     1
           CI3P2-3P1           370.4243774           370.4243774          -998.0000000           0.000000000          -998.0000000          0.9943682530          -998.0000000       2.116988821e-19       7.721693293e-22           0.000000000           62.46200000       2.650000000e-07                     5           180.4010925          -65.14799500        DoubleGaussian                     1
               CO7-6           371.6597290           371.6597290          -998.0000000       6.477145006e-20       4.938608612e-22          0.9943682530          -998.0000000       2.087505905e-19       7.721693293e-22           79.28338609           154.8700000       3.422000000e-05                    15           180.4010925          -65.14799500        DoubleGaussian                     1
           CI3P1-3P0           609.1506958           609.1506958          -998.0000000       2.494915971e-21       2.804019059e-22           2.689042215          -998.0000000       2.195677260e-20       1.525468089e-22           5.716280656           23.62000000       7.880000000e-08                     3           180.4010925          -65.14799500        DoubleGaussian                     1
      p-H2O6_24-7_17           613.7266235           613.7266235          -998.0000000       1.446494565e-22       2.825082935e-22           2.689042215          -998.0000000       2.113076281e-20       1.525468089e-22          0.3314167288           867.3000000       1.224000000e-05                    13           180.4010925          -65.14799500        DoubleGaussian                     1
            13CO10-9           272.2114868           272.2114868          -998.0000000       3.162450559e-21       5.895182564e-21          0.5369836051          -998.0000000       8.208767314e-19       2.830415309e-21           1.955558992           290.7900000       8.797000000e-05                    21           180.4010925          -65.14799500        DoubleGaussian                     1
      o-H2O3_12-3_03           273.1998901           273.1998901          -998.0000000       1.065720582e-20       5.916575374e-21          0.5369836051          -998.0000000       8.077296620e-19       2.830415309e-21           6.590077625           249.4000000         0.01648000000                    21           180.4010925          -65.14799500        DoubleGaussian                     1
             13CO9-8           302.4222107           302.4222107          -998.0000000       7.859027016e-21       4.097626017e-21          0.6627893150          -998.0000000       5.095916304e-19       1.980033717e-21           5.628323681           237.9300000       6.406000000e-05                    19           180.4010925          -65.14799500        DoubleGaussian                     1
      p-H2O2_02-1_11           303.4638062           303.4638062          -998.0000000       2.714005994e-20       4.111730091e-21          0.6627893150          -998.0000000       5.014154388e-19       1.980033717e-21           19.43663532           100.8000000        0.005835000000                     5           180.4010925          -65.14799500        DoubleGaussian                     1
