  Wavelength(um)        Flux(Jy)
       560.53913       33.940247
       560.22510       34.059867
       559.91143       34.113567
       559.59810       34.100917
       559.28513       34.044929
       558.97250       33.977817
       558.66023       33.923786
       558.34830       33.888362
       558.03672       33.859773
       557.72549       33.820919
       557.41461       33.764360
       557.10407       33.701109
       556.79388       33.657630
       556.48403       33.662370
       556.17453       33.729347
       555.86537       33.848519
       555.55656       33.989229
       555.24809       34.110155
       554.93996       34.181645
       554.63217       34.197548
       554.32473       34.175521
       554.01762       34.145644
       553.71086       34.133699
       553.40443       34.148380
       553.09835       34.179107
       552.79260       34.204861
       552.48719       34.208226
       552.18211       34.186243
       551.87738       34.151981
       551.57298       34.126535
       551.26891       34.126845
       550.96518       34.156968
       550.66179       34.208005
       550.35873       34.266325
       550.05600       34.324689
       549.75361       34.389168
       549.45154       34.473667
       549.14981       34.592137
       548.84841       34.745961
       548.54734       34.917854
       548.24661       35.076472
       547.94620       35.189840
       547.64612       35.240762
       547.34636       35.236010
       547.04694       35.204473
       546.74784       35.185465
       546.44908       35.213531
       546.15063       35.307459
       545.85252       35.468000
       545.55472       35.683374
       545.25726       35.937208
       544.96011       36.213031
       544.66329       36.492886
       544.36680       36.752892
       544.07062       36.961767
       543.77477       37.083486
       543.47924       37.092157
       543.18403       36.984876
       542.88915       36.787559
       542.59458       36.547950
       542.30033       36.317264
       542.00640       36.129529
       541.71279       35.990651
       541.41950       35.885062
       541.12652       35.798093
       540.83386       35.742065
       540.54152       35.769633
       540.24949       35.962573
       539.95778       36.396461
       539.66638       37.095609
       539.37530       38.000513
       539.08453       38.966976
       538.79408       39.802739
       538.50394       40.329770
       538.21411       40.443847
       537.92459       40.152687
       537.63538       39.569591
       537.34648       38.868961
       537.05790       38.223586
       536.76962       37.750513
       536.48166       37.486482
       536.19400       37.398537
       535.90665       37.418873
       535.61961       37.483516
       535.33287       37.556146
       535.04645       37.629294
       534.76033       37.708489
       534.47451       37.793298
       534.18900       37.868542
       533.90379       37.910570
       533.61889       37.903050
       533.33430       37.850775
       533.05000       37.781661
       532.76601       37.732682
       532.48233       37.732336
       532.19894       37.785769
       531.91586       37.873586
       531.63307       37.964668
       531.35059       38.034756
       531.06841       38.079257
       530.78652       38.112579
       530.50494       38.154914
       530.22365       38.215529
       529.94266       38.283931
       529.66197       38.335340
       529.38158       38.347583
       529.10149       38.318752
       528.82169       38.273691
       528.54218       38.253872
       528.26297       38.295536
       527.98406       38.408988
       527.70544       38.572137
       527.42711       38.742473
       527.14908       38.882689
       526.87134       38.982953
       526.59390       39.066305
       526.31674       39.172671
       526.03988       39.330409
       525.76331       39.533120
       525.48702       39.737519
       525.21103       39.885782
       524.93533       39.939979
       524.65992       39.906695
       524.38480       39.833820
       524.10996       39.777920
       523.83542       39.760887
       523.56116       39.746180
       523.28718       39.658974
       523.01350       39.451362
       522.74010       39.184296
       522.46698       39.078823
       522.19416       39.494170
       521.92161       40.817454
       521.64935       43.296782
       521.37738       46.883085
       521.10568       51.155962
       520.83427       55.382598
       520.56315       58.706018
       520.29230       60.402191
       520.02174       60.111192
       519.75146       57.952785
       519.48146       54.480945
       519.21174       50.495969
       518.94230       46.788835
       518.67314       43.915717
       518.40426       42.081925
       518.13565       41.164034
       517.86733       40.840721
       517.59928       40.762894
       517.33151       40.688187
       517.06402       40.535210
       516.79680       40.349270
       516.52986       40.221413
       516.26319       40.209896
       515.99680       40.303775
       515.73069       40.438680
