  Wavelength(um)          Flux(Jy)         Error(Jy)
         71.9034           143.515           3.14284
         71.9230           141.963           2.10054
         71.9427           144.853           2.62118
         71.9623           144.232           3.28500
         71.9819           144.289           2.38249
         72.0016           143.340           2.47896
         72.0212           142.890           2.99499
         72.0409           142.533           2.43995
         72.0605           141.991           2.45778
         72.0801           143.310           2.35755
         72.0998           143.210           2.68684
         72.1194           143.063           3.33295
         72.1390           142.742           2.52696
         72.1587           142.215           2.23083
         72.1783           145.018           2.42622
         72.1979           142.808           2.81117
         72.2176           142.645           2.11733
         72.2372           142.552           2.31555
         72.2568           143.212           2.81969
         72.2764           144.042           2.79359
         72.2961           145.295           2.13454
         72.3157           143.079          0.942718
         72.3353           139.879          0.664559
         72.3550           144.350          0.748611
         72.3746           145.077          0.834055
         72.3942           146.724          0.794445
         72.4138           142.791          0.661477
         72.4335           143.546          0.758978
         72.4531           145.284          0.536801
         72.4727           143.241          0.904656
         72.4923           143.797          0.766791
         72.5119           146.405          0.787683
         72.5316           144.204          0.649967
         72.5512           147.281          0.614105
         72.5708           146.105          0.860516
         72.5904           145.991          0.514035
         72.6101           146.928          0.987326
         72.6297           145.231          0.604972
         72.6493           145.907          0.867338
         72.6689           147.170          0.489992
         72.6885           146.531          0.931751
         72.7081           151.871          0.806332
         72.7278           145.386           1.16807
         72.7474           146.451          0.813044
         72.7670           147.651          0.849427
         72.7866           144.986          0.687414
         72.8062           147.222          0.666986
         72.8258           150.446           1.05933
         72.8454           149.991          0.809774
         72.8651           154.445          0.831819
         72.8847           147.925           1.27641
         72.9043           150.318           1.12196
         72.9239           148.029           1.00189
         72.9435           147.634          0.658226
         72.9631           149.043          0.763994
         72.9827           149.426          0.845745
         73.0023           147.405          0.906902
         73.0219           148.803           1.27486
         73.0415           150.448          0.892778
         73.0612           149.245           1.02061
         73.0808           149.489          0.756850
         73.1004           151.433           1.21841
         73.1200           149.068          0.540842
         73.1396           151.747           1.16199
         73.1592           147.325          0.757174
         73.1788           150.221          0.719118
         73.1984           151.830          0.891268
         73.2180           150.127           1.19601
         73.2376           150.022          0.887160
         73.2572           151.933           1.07057
         73.2768           151.019          0.786804
         73.2964           148.909          0.833809
         73.3160           152.155           1.00448
         73.3356           151.759          0.862274
         73.3552           152.302          0.975614
         73.3748           150.308          0.695379
         73.3944           150.092          0.941397
         73.4140           151.554          0.717496
         73.4336           152.365           1.15275
         73.4532           152.693          0.460299
         73.4727           152.501           1.02977
         73.4923           151.898          0.829983
         73.5119           153.938           1.55528
         73.5315           150.795          0.496994
         73.5511           152.358           1.25916
         73.5707           153.358          0.660695
         73.5903           154.568           1.19625
         73.6099           152.129          0.802432
         73.6295           153.617          0.835366
         73.6491           154.587           1.12093
         73.6686           151.442          0.896668
         73.6882           154.391           1.01193
         73.7078           153.093          0.825026
         73.7274           153.264           1.09682
         73.7470           152.517          0.868709
         73.7666           151.649           1.01686
         73.7862           153.818          0.823486
         73.8057           155.011          0.805391
         73.8253           153.992          0.944505
         73.8449           154.366           1.15945
         73.8645           152.410          0.840241
         73.8841           154.596           1.26809
         73.9036           155.611          0.947590
         73.9232           152.606           1.22461
         73.9428           152.357          0.815858
         73.9624           154.009           1.14275
         73.9819           156.081          0.736056
         74.0015           154.902           1.41372
         74.0211           153.493          0.937982
         74.0407           157.758           1.60945
         74.0602           155.251          0.985834
         74.0798           156.652          0.961321
         74.0994           153.778          0.987677
         74.1190           154.844          0.873387
         74.1385           158.240          0.903566
         74.1581           157.046          0.963507
         74.1777           157.661          0.924085
         74.1972           156.990          0.925736
         74.2168           159.227          0.887835
         74.2364           158.607           1.36496
         74.2559           156.195          0.962447
         74.2755           155.832          0.932330
         74.2951           158.620           1.05933
         74.3146           160.795           1.13224
         74.3342           159.281          0.797657
         74.3538           158.626          0.851166
         74.3733           160.483          0.999734
         74.3929           161.542           1.06797
         74.4124           160.879           1.54876
         74.4320           158.004          0.838788
         74.4516           160.107           1.25103
         74.4711           161.468           1.07274
         74.4907           161.364           1.35720
         74.5102           158.730           1.11591
         74.5298           162.608           1.33196
         74.5493           160.457          0.910747
         74.5689           159.517           1.49884
         74.5884           161.690           1.14928
         74.6080           161.310           1.39064
         74.6275           158.978           1.41360
         74.6471           161.256           1.44947
         74.6666           164.245           1.39409
         74.6862           163.714           1.34254
         74.7057           162.228           1.12397
         74.7253           165.310           1.02757
         74.7448           162.682           1.14797
         74.7644           160.760           1.02202
         74.7839           163.003           1.38882
         74.8035           162.934           1.16278
         74.8230           164.970           1.07479
         74.8426           164.060           1.28076
         74.8621           165.515           1.37370
         74.8816           170.057           1.56927
         74.9012           165.584           1.53715
         74.9207           161.536           1.01331
         74.9403           163.889           1.57239
         74.9598           164.977          0.908010
         74.9793           163.839           1.20824
         74.9989           162.731          0.847580
         75.0184           161.796           1.10645
         75.0380           164.031          0.740473
         75.0575           163.135           1.31008
         75.0770           162.444          0.874503
         75.0966           162.943           1.14057
         75.1161           164.436           1.13713
         75.1356           165.775           1.15090
         75.1551           163.745          0.927809
         75.1747           165.518           1.06234
         75.1942           166.713          0.885649
         75.2137           164.034          0.989694
         75.2333           165.734          0.771199
         75.2528           164.919          0.916205
         75.2723           167.283          0.974536
         75.2918           166.451          0.740595
         75.3114           167.818          0.841570
         75.3309           166.230          0.790329
         75.3504           169.082          0.679084
         75.3699           170.039          0.634023
         75.3894           174.542          0.895767
         75.4090           168.799          0.868275
         75.4285           169.825          0.768215
         75.4480           169.378           1.14025
         75.4675           169.941          0.823194
         75.4870           166.991          0.640347
         75.5065           166.423          0.975569
         75.5261           168.499          0.667741
         75.5456           168.531           1.02634
         75.5651           166.043          0.477208
         75.5846           169.585           1.04961
         75.6041           171.650          0.538985
         75.6236           169.768          0.967713
         75.6431           169.257          0.501118
         75.6626           167.887          0.799250
         75.6821           169.823          0.679121
         75.7016           168.519          0.972089
         75.7212           167.969          0.381150
         75.7407           170.151          0.867352
         75.7602           170.323          0.572303
         75.7797           170.250          0.770741
         75.7992           168.396          0.708861
         75.8187           169.062          0.938632
         75.8382           168.751          0.699988
         75.8577           166.322          0.855577
         75.8772           170.287          0.707204
         75.8967           169.245          0.883207
         75.9162           169.136          0.614229
         75.9357           169.132          0.680591
         75.9551           168.679          0.851735
         75.9746           166.272          0.697827
         75.9941           167.955          0.927397
         76.0136           166.571          0.622729
         76.0331           169.706          0.681023
         76.0526           167.148          0.886916
         76.0721           166.246          0.879376
         76.0916           170.298          0.890962
         76.1111           168.020          0.830566
         76.1306           167.861          0.831861
         76.1500           166.219          0.748662
         76.1695           168.029          0.642892
         76.1890           171.305          0.621486
         76.2085           166.863          0.621440
         76.2280           170.596          0.714987
         76.2475           171.080          0.446309
         76.2669           169.124          0.790430
         76.2864           170.297          0.428343
         76.3059           168.307          0.893083
         76.3254           166.896          0.586035
         76.3448           171.057          0.645358
         76.3643           170.930          0.508128
         76.3838           170.236          0.691608
         76.4033           171.296          0.554600
         76.4227           171.702          0.802201
         76.4422           169.533          0.642730
         76.4617           169.546          0.886863
         76.4812           169.772          0.741714
         76.5006           170.639           1.13789
         76.5201           170.075          0.558062
         76.5396           172.041          0.907954
         76.5590           168.804          0.627293
         76.5785           170.216          0.737499
         76.5979           171.267          0.664620
         76.6174           171.314          0.965286
         76.6369           173.045           1.22978
         76.6563           169.290          0.875260
         76.6758           171.013          0.756226
         76.6952           171.428          0.787215
         76.7147           173.480          0.608575
         76.7342           173.044          0.825370
         76.7536           172.789           1.16314
         76.7731           170.158           1.11021
         76.7925           172.315           1.30015
         76.8120           169.873          0.817187
         76.8314           171.746          0.786297
         76.8509           170.987           1.08580
         76.8703           169.622          0.860468
         76.8898           170.158          0.804082
         76.9092           169.848          0.853307
         76.9287           171.585           1.00368
         76.9481           172.148           1.25052
         76.9676           176.685           1.11978
         76.9870           173.678           1.01953
         77.0064           174.423          0.671324
         77.0259           175.860           1.16393
         77.0453           180.500          0.924766
         77.0648           181.286           1.09701
         77.0842           176.348          0.740769
         77.1036           175.185          0.894722
         77.1231           174.890          0.647888
         77.1425           178.158          0.730238
         77.1619           173.474          0.511026
         77.1814           175.813           1.04191
         77.2008           173.438          0.496333
         77.2202           174.558          0.864722
         77.2397           175.832          0.555767
         77.2591           174.937           1.09209
         77.2785           174.834          0.624383
         77.2980           177.248           1.03729
         77.3174           174.058          0.743419
         77.3368           175.564           1.08718
         77.3562           177.219          0.794933
         77.3756           175.794           1.15856
         77.3951           177.073          0.717406
         77.4145           176.285           1.37537
         77.4339           178.093          0.686278
         77.4533           175.292          0.986535
         77.4727           176.016          0.807808
         77.4922           176.395          0.848539
         77.5116           173.093          0.636983
         77.5310           173.111          0.842083
         77.5504           173.707          0.623283
         77.5698           174.187           1.17897
         77.5892           175.703          0.801712
         77.6086           175.534           1.01006
         77.6280           178.613          0.718032
         77.6474           176.263           1.09469
         77.6668           176.029          0.700074
         77.6863           177.618          0.887290
         77.7057           173.883          0.962041
         77.7251           175.504          0.790049
         77.7445           175.589          0.974167
         77.7639           176.383          0.778531
         77.7833           176.538          0.809423
         77.8027           175.670           1.10170
         77.8221           176.055          0.769363
         77.8414           174.903          0.985616
         77.8608           177.018           1.04219
         77.8802           175.954          0.775516
         77.8996           177.164          0.781524
         77.9190           176.266          0.666287
         77.9384           175.197           1.08399
         77.9578           177.550          0.701131
         77.9772           174.751           1.36269
         77.9966           177.098           1.05615
         78.0160           176.617           1.23879
         78.0353           177.730          0.892706
         78.0547           178.750          0.955128
         78.0741           176.708          0.704662
         78.0935           178.128           1.06130
         78.1129           179.088          0.735304
         78.1322           180.410          0.966044
         78.1516           176.016          0.704448
         78.1710           178.407          0.768824
         78.1904           177.612           1.09701
         78.2097           178.996          0.924214
         78.2291           177.519          0.794264
         78.2485           179.213          0.912592
         78.2679           179.875          0.803015
         78.2872           178.145          0.691475
         78.3066           175.640          0.794348
         78.3260           179.655           1.06307
         78.3453           178.097          0.813706
         78.3647           180.493          0.869955
         78.3841           175.808          0.819988
         78.4034           177.475          0.745647
         78.4228           182.367          0.695474
         78.4421           180.457          0.750456
         78.4615           182.488          0.883185
         78.4809           180.232          0.599898
         78.5002           182.259          0.653840
         78.5196           180.335          0.767520
         78.5389           180.840          0.419056
         78.5583           177.982           1.04495
         78.5776           181.916          0.394198
         78.5970           181.502          0.865008
         78.6163           180.877          0.466818
         78.6357           180.407          0.865177
         78.6550           181.277          0.494729
         78.6744           183.369          0.765635
         78.6937           183.203          0.407420
         78.7130           182.682          0.838681
         78.7324           190.453          0.306572
         78.7517           187.438          0.777978
         78.7711           185.386          0.305408
         78.7904           186.888          0.608301
         78.8097           181.790          0.444639
         78.8291           185.822          0.425393
         78.8484           182.720          0.392739
         78.8677           183.985          0.586273
         78.8871           181.959          0.512918
         78.9064           180.345          0.591779
         78.9257           184.594          0.492340
         78.9451           182.213          0.524940
         78.9644           182.293          0.439871
         78.9837           182.252          0.521724
         79.0030           180.190          0.404616
         79.0224           181.004          0.470750
         79.0417           182.119          0.374831
         79.0610           184.834          0.685355
         79.0803           183.201          0.403521
         79.0996           187.194          0.425770
         79.1189           191.640          0.362042
         79.1383           186.755          0.502205
         79.1576           185.729          0.471995
         79.1769           190.542          0.588094
         79.1962           188.526          0.364203
         79.2155           183.832          0.631890
         79.2348           183.334          0.423643
         79.2541           179.676          0.677357
         79.2734           184.274          0.560481
         79.2927           183.925          0.815982
         79.3120           180.662          0.554315
         79.3313           187.412          0.543602
         79.3506           192.378          0.612097
         79.3699           188.819          0.705029
         79.3892           185.327          0.471897
         79.4085           181.486          0.656062
         79.4278           183.379          0.435726
         79.4471           179.037          0.688906
         79.4664           178.985          0.661691
         79.4857           182.736          0.671290
         79.5050           184.478          0.609633
         79.5243           180.282          0.938105
         79.5436           182.426          0.578900
         79.5628           179.228          0.904052
         79.5821           178.646          0.358331
         79.6014           178.998          0.784609
         79.6207           180.873          0.437681
         79.6400           181.110          0.885997
         79.6593           180.931          0.563140
         79.6785           180.768          0.995084
         79.6978           182.129          0.580006
         79.7171           177.765          0.689740
         79.7364           182.075          0.456650
         79.7556           181.138           1.03576
         79.7749           185.499          0.378858
         79.7942           181.873          0.520348
         79.8134           185.989          0.785017
         79.8327           182.160          0.699363
         79.8520           183.441          0.398505
         79.8712           181.695          0.820236
         79.8905           184.058          0.533625
         79.9098           181.467          0.878878
         79.9290           182.658          0.670702
         79.9483           184.211          0.757006
         79.9675           184.469          0.535542
         79.9868           182.385          0.899297
         80.0060           184.278          0.480128
         80.0253           182.425          0.829610
         80.0445           187.467          0.804539
         80.0638           184.438          0.749846
         80.0830           184.183          0.611875
         80.1023           183.949          0.653299
         80.1215           187.727          0.471259
         80.1408           185.485          0.738540
         80.1600           185.123          0.572257
         80.1793           186.765          0.779903
         80.1985           187.701          0.396331
         80.2177           185.361          0.729291
         80.2370           188.513          0.578433
         80.2562           188.074          0.728245
         80.2754           188.282          0.333341
         80.2947           188.206          0.623213
         80.3139           190.981          0.462747
         80.3331           189.716          0.697209
         80.3524           189.452          0.551469
         80.3716           190.080          0.770020
         80.3908           187.643          0.449152
         80.4100           189.836          0.729509
         80.4293           190.931          0.426986
         80.4485           189.055          0.575082
         80.4677           188.930          0.447732
         80.4869           190.377          0.543956
         80.5061           192.024          0.503007
         80.5254           189.432          0.585615
         80.5446           188.716          0.432792
         80.5638           190.194          0.657524
         80.5830           190.972          0.662721
         80.6022           190.284          0.509244
         80.6214           190.137          0.525142
         80.6406           192.434          0.597598
         80.6598           189.546          0.509171
         80.6790           188.625          0.570850
         80.6982           189.916          0.583035
         80.7174           192.180          0.659928
         80.7366           188.101          0.604785
         80.7558           190.637          0.583430
         80.7750           191.565          0.617671
         80.7942           187.290          0.599662
         80.8134           191.328          0.520716
         80.8326           190.747          0.817637
         80.8518           189.103          0.344210
         80.8710           187.505          0.679029
         80.8902           190.102          0.359917
         80.9094           191.216          0.582059
         80.9285           187.066          0.340449
         80.9477           189.126          0.726396
         80.9669           190.119          0.316706
         80.9861           192.407          0.712716
         81.0053           191.753          0.377641
         81.0244           188.993          0.939431
         81.0436           192.101          0.418074
         81.0628           189.641          0.740656
         81.0820           184.881          0.467972
         81.1011           190.246          0.558161
         81.1203           188.056          0.396777
         81.1395           190.973          0.601833
         81.1586           188.873          0.447158
         81.1778           190.333          0.501651
         81.1969           189.435          0.495156
         81.2161           188.333          0.566817
         81.2353           188.696          0.438799
         81.2544           190.383          0.489048
         81.2736           192.938          0.479763
         81.2927           191.012          0.561266
         81.3119           192.158          0.475503
         81.3310           191.322          0.566529
         81.3502           192.553          0.387443
         81.3693           188.398          0.606559
         81.3885           189.710          0.505137
         81.4076           189.714          0.548439
         81.4268           192.320          0.455944
         81.4459           192.486          0.533911
         81.4651           193.913          0.398586
         81.4842           193.434          0.610904
         81.5033           193.776          0.369093
         81.5225           192.022          0.625074
         81.5416           193.310          0.376371
         81.5607           189.991          0.797701
         81.5799           191.838          0.482155
         81.5990           196.142          0.626314
         81.6181           196.011          0.371395
         81.6372           191.537          0.593318
         81.6564           191.980          0.485587
         81.6755           194.543          0.492349
         81.6946           196.414          0.510540
         81.7137           193.767          0.509643
         81.7329           198.217          0.549720
         81.7520           198.388          0.471880
         81.7711           201.731          0.463577
         81.7902           204.810          0.556004
         81.8093           208.544          0.489759
         81.8284           207.020          0.496424
         81.8475           200.946          0.734030
         81.8666           198.868          0.499870
         81.8857           197.798          0.772564
         81.9048           200.086          0.378734
         81.9239           199.177          0.688745
         81.9430           200.072          0.323936
         81.9621           199.048          0.640249
         81.9812           202.054          0.470379
         82.0003           201.800          0.770030
         82.0194           203.787          0.330989
         82.0385           208.047          0.742311
         82.0576           204.586          0.271383
         82.0767           201.850          0.701359
         82.0958           200.098          0.314812
         82.1149           201.925          0.759198
         82.1339           201.298          0.430867
         82.1530           197.277          0.649527
         82.1721           199.792          0.432780
         82.1912           202.277          0.534545
         82.2103           199.590          0.478166
         82.2293           201.338          0.599962
         82.2484           197.237          0.627796
         82.2675           200.934          0.770133
         82.2866           196.768          0.568934
         82.3056           201.663          0.552660
         82.3247           202.789          0.497389
         82.3437           200.499          0.560501
         82.3628           203.486          0.391200
         82.3819           201.154          0.791912
         82.4009           199.869          0.400243
         82.4200           207.997          0.750199
         82.4390           199.376          0.357520
         82.4581           206.056          0.726127
         82.4772           201.536          0.658666
         82.4962           203.298          0.563184
         82.5153           204.160          0.441354
         82.5343           201.275          0.787821
         82.5533           202.286          0.733105
         82.5724           203.901          0.666527
         82.5914           201.923          0.473359
         82.6105           203.386          0.604239
         82.6295           204.643          0.516356
         82.6485           203.813          0.827729
         82.6676           201.734          0.552874
         82.6866           203.550          0.578443
         82.7056           199.653          0.535053
         82.7247           198.699          0.698454
         82.7437           202.941          0.353787
         82.7627           200.009          0.639402
         82.7818           203.593          0.711921
         82.8008           200.826          0.650313
         82.8198           203.293          0.760764
         82.8388           201.845          0.410434
         82.8578           200.235          0.755784
         82.8768           201.512          0.472182
         82.8959           201.298          0.372404
         82.9149           202.294          0.654937
         82.9339           201.340          0.652939
         82.9529           197.765          0.463201
         82.9719           201.525          0.668374
         82.9909           200.072          0.474710
         83.0099           203.715          0.762468
         83.0289           204.813          0.441926
         83.0479           200.650          0.632775
         83.0669           204.837          0.513638
         83.0859           200.301          0.566958
         83.1049           203.115          0.529143
         83.1239           200.710          0.539688
         83.1429           203.588          0.434259
         83.1619           204.201          0.588897
         83.1808           205.685          0.454574
         83.1998           206.715          0.479223
         83.2188           206.093          0.376195
         83.2378           205.337          0.416021
         83.2568           205.985          0.330615
         83.2758           206.927          0.562662
         83.2947           206.702          0.245249
         83.3137           205.283          0.532983
         83.3327           205.204          0.484216
         83.3516           205.763          0.457180
         83.3706           206.218          0.432839
         83.3896           204.663          0.422032
         83.4085           207.200          0.423347
         83.4275           203.637          0.473343
         83.4465           202.655          0.354706
         83.4654           204.973          0.436802
         83.4844           211.011          0.303842
         83.5033           203.150          0.320038
         83.5223           205.101          0.322802
         83.5412           208.614          0.430413
         83.5602           209.796          0.407647
         83.5791           210.343          0.380933
         83.5981           210.303          0.364229
         83.6170           208.689          0.307884
         83.6360           209.015          0.456974
         83.6549           211.502          0.395189
         83.6738           205.363          0.400193
         83.6928           203.397          0.310963
         83.7117           203.707          0.577001
         83.7306           205.600          0.301802
         83.7496           207.855          0.539227
         83.7685           206.208          0.466527
         83.7874           204.645          0.560895
         83.8064           209.675          0.273637
         83.8253           207.126          0.544389
         83.8442           208.124          0.431062
         83.8631           204.104          0.574738
         83.8820           210.155          0.337469
         83.9010           207.525          0.579473
         83.9199           205.801          0.299626
         83.9388           205.503          0.470176
         83.9577           207.878          0.418209
         83.9766           209.390          0.504944
         83.9955           205.275          0.271332
         84.0144           208.398          0.340643
         84.0333           208.118          0.543953
         84.0522           205.431          0.427704
         84.0711           207.918          0.349853
         84.0900           206.171          0.491725
         84.1089           207.776          0.297312
         84.1278           207.110          0.546134
         84.1467           212.092          0.294230
         84.1656           207.700          0.453218
         84.1844           206.282          0.358526
         84.2033           208.767          0.505740
         84.2222           208.076          0.572947
         84.2411           209.625          0.306541
         84.2600           210.568          0.557931
         84.2788           207.350          0.450077
         84.2977           212.288          0.405557
         84.3166           209.365          0.426279
         84.3355           210.737          0.611930
         84.3543           213.979          0.313324
         84.3732           215.098          0.557552
         84.3921           222.780          0.297223
         84.4109           223.800          0.530856
         84.4298           218.498          0.393017
         84.4486           209.703          0.434916
         84.4675           208.839          0.428858
         84.4863           208.390          0.556191
         84.5052           210.625          0.509527
         84.5240           210.911          0.678240
         84.5429           210.887          0.664736
         84.5617           212.894          0.498677
         84.5806           215.462          0.293457
         84.5994           216.139          0.376398
         84.6183           215.552          0.319842
         84.6371           212.567          0.404813
         84.6559           212.893          0.345619
         84.6748           212.003          0.586007
         84.6936           209.576          0.398355
         84.7124           208.102          0.498012
         84.7313           210.473          0.307893
         84.7501           212.326          0.406589
         84.7689           209.262          0.463255
         84.7877           212.127          0.396599
         84.8065           212.586          0.450546
         84.8254           215.414          0.381365
         84.8442           210.185          0.306566
         84.8630           214.003          0.400349
         84.8818           209.723          0.583624
         84.9006           214.132          0.298232
         84.9194           211.914          0.405916
         84.9382           213.722          0.264757
         84.9570           216.021          0.537516
         84.9758           216.781          0.350280
         84.9946           215.371          0.427612
         85.0134           216.537          0.287356
         85.0322           216.656          0.401313
         85.0510           214.241          0.425054
         85.0698           215.209          0.377216
         85.0886           215.902          0.352974
         85.1074           214.437          0.442837
         85.1261           212.084          0.366395
         85.1449           214.052          0.364690
         85.1637           215.995          0.334336
         85.1825           213.739          0.527403
         85.2013           212.343          0.414824
         85.2200           215.929          0.443814
         85.2388           216.569          0.250076
         85.2576           214.921          0.485831
         85.2763           215.525          0.374257
         85.2951           217.524          0.325834
         85.3139           213.011          0.407968
         85.3326           215.528          0.372255
         85.3514           217.950          0.476336
         85.3701           214.302          0.302325
         85.3889           216.851          0.509800
         85.4076           219.637          0.236398
         85.4264           215.317          0.478920
         85.4451           218.341          0.439838
         85.4639           211.293          0.524434
         85.4826           217.197          0.405959
         85.5014           212.257          0.467503
         85.5201           213.217          0.306817
         85.5388           211.177          0.462221
         85.5576           213.586          0.295868
         85.5763           208.951          0.501891
         85.5950           213.463          0.301189
         85.6138           209.950          0.414709
         85.6325           212.480          0.376789
         85.6512           210.924          0.430130
         85.6699           206.669          0.310191
         85.6887           213.605          0.380681
         85.7074           208.570          0.555399
         85.7261           211.508          0.232165
         85.7448           213.681          0.399819
         85.7635           212.534          0.326333
         85.7822           212.014          0.403954
         85.8009           209.336          0.262349
         85.8196           210.586          0.552647
         85.8383           215.373          0.295149
         85.8570           206.638          0.524313
         85.8757           212.567          0.304318
         85.8944           209.855          0.450779
         85.9131           216.346          0.207077
         85.9318           207.400          0.542857
         85.9505           212.911          0.335644
         85.9692           210.169          0.429114
         85.9879           213.951          0.273698
         86.0065           214.932          0.412144
         86.0252           215.461          0.334509
         86.0439           215.127          0.502992
         86.0626           215.566          0.335465
         86.0812           215.170          0.422234
         86.0999           213.091          0.357123
         86.1186           216.569          0.427286
         86.1372           213.111          0.337645
         86.1559           216.848          0.290504
         86.1746           218.291          0.492270
         86.1932           219.110          0.346194
         86.2119           218.537          0.513516
         86.2305           213.714          0.270196
         86.2492           219.722          0.371153
         86.2678           215.306          0.244118
         86.2865           218.810          0.418155
         86.3051           217.142          0.320288
         86.3238           218.812          0.410813
         86.3424           217.524          0.386988
         86.3610           216.234          0.497929
         86.3797           216.291          0.396389
         86.3983           214.998          0.438239
         86.4169           219.059          0.324290
         86.4356           213.852          0.373999
         86.4542           215.317          0.317414
         86.4728           216.514          0.366551
         86.4914           217.672          0.428698
         86.5101           215.139          0.413858
         86.5287           222.620          0.383438
         86.5473           222.963          0.357710
         86.5659           219.606          0.500547
         86.5845           220.122          0.286479
         86.6031           219.474          0.359039
         86.6217           220.948          0.313623
         86.6403           218.815          0.429440
         86.6589           218.872          0.357324
         86.6775           221.032          0.549608
         86.6961           221.398          0.250489
         86.7147           216.381          0.403462
         86.7333           223.450          0.365844
         86.7519           215.445          0.379993
         86.7705           217.362          0.379319
         86.7891           218.732          0.369679
         86.8076           217.437          0.313583
         86.8262           217.570          0.462754
         86.8448           216.079          0.402344
         86.8634           220.953          0.372749
         86.8819           217.134          0.551650
         86.9005           221.177          0.412521
         86.9191           220.963          0.441671
         86.9377           218.610          0.359625
         86.9562           214.367          0.379646
         86.9748           218.852          0.282079
         86.9933           215.720          0.578914
         87.0119           221.131          0.246775
         87.0304           220.314          0.454367
         87.0490           222.947          0.307966
         87.0675           216.758          0.439094
         87.0861           220.815          0.364471
         87.1046           218.562          0.526300
         87.1232           220.190          0.312581
         87.1417           220.554          0.361993
         87.1602           229.103          0.289262
         87.1788           231.145          0.479878
         87.1973           228.399          0.359734
         87.2158           226.136          0.469640
         87.2344           222.293          0.637497
         87.2529           222.144          0.342553
         87.2714           224.187          0.679989
         87.2899           227.958          0.268586
         87.3084           222.454          0.431844
         87.3270           226.723          0.365431
         87.3455           223.658          0.642942
         87.3640           226.346          0.478503
         87.3825           221.820          0.647941
         87.4010           223.782          0.309062
         87.4195           225.389          0.623276
         87.4380           226.194          0.415472
         87.4565           222.732          0.540036
         87.4750           225.427          0.389702
         87.4935           221.562          0.480205
         87.5120           227.957          0.336228
         87.5304           222.362          0.604185
         87.5489           221.842          0.446546
         87.5674           222.808          0.482049
         87.5859           222.434          0.575487
         87.6044           225.345          0.212763
         87.6228           224.260          0.573080
         87.6413           223.176          0.478480
         87.6598           223.309          0.504360
         87.6782           224.875          0.208655
         87.6967           225.451          0.621504
         87.7152           220.943          0.362102
         87.7336           225.413          0.617001
         87.7521           225.557          0.271265
         87.7705           224.590          0.459317
         87.7890           224.381          0.290738
         87.8074           225.313          0.423927
         87.8259           227.683          0.364437
         87.8443           224.699          0.631568
         87.8628           225.840          0.454082
         87.8812           224.730          0.251998
         87.8997           226.928          0.458581
         87.9181           226.181          0.313992
         87.9365           224.565          0.407869
         87.9549           226.212          0.290014
         87.9734           224.770          0.308240
         87.9918           226.170          0.229171
         88.0102           225.985          0.470900
         88.0286           226.729          0.317935
         88.0471           228.009          0.372389
         88.0655           233.765          0.287127
         88.0839           225.901          0.380650
         88.1023           229.838          0.292835
         88.1207           227.408          0.377378
         88.1391           228.876          0.378144
         88.1575           230.672          0.526792
         88.1759           231.654          0.420371
