  Wavelength(um)          Flux(Jy)         Error(Jy)
         58.6796           77.7079           1.90756
         58.6992           77.6994           4.09871
         58.7188           78.0535           2.62286
         58.7384           78.8323           1.75027
         58.7580           77.7138           3.40103
         58.7777           76.7641           3.50037
         58.7973           77.2086           2.28547
         58.8169           76.7136           3.09260
         58.8365           77.4519           2.69104
         58.8561           77.0346           3.04677
         58.8757           77.3819           2.68090
         58.8953           77.4104           2.53377
         58.9149           78.9442           2.63868
         58.9346           77.7742           4.09223
         58.9542           78.2704           2.44661
         58.9738           77.6807           2.23597
         58.9934           77.3531           3.44760
         59.0130           77.8482           2.49544
         59.0326           77.7318           2.79555
         59.0523           78.5603           3.65987
         59.0719           78.6778           2.75743
         59.0915           78.2974           2.13440
         59.1111           78.2453           2.41172
         59.1307           77.5297           3.05988
         59.1504           79.1853           2.63710
         59.1700           77.5435           2.71249
         59.1896           79.4643           3.13833
         59.2092           79.7884           1.99448
         59.2289           78.7381           2.65488
         59.2485           79.9138           3.22809
         59.2681           80.2208           2.56223
         59.2877           79.6347           1.91225
         59.3073           79.1480           3.03624
         59.3270           79.9497           2.32778
         59.3466           80.8602           2.40260
         59.3662           81.1931           4.04939
         59.3858           80.2441           2.46672
         59.4055           81.4979           1.85601
         59.4251           80.4394           2.89599
         59.4447           81.0872           1.81980
         59.4644           79.5764           2.28201
         59.4840           82.1044           3.62818
         59.5036           80.9258           2.40253
         59.5232           80.7570           2.25911
         59.5429           82.1239           3.32201
         59.5625           82.6917           2.75555
         59.5821           81.9717           2.57729
         59.6018           80.2052           2.54407
         59.6214           81.3829           2.48029
         59.6410           81.4933           2.75393
         59.6607           81.8357           3.16847
         59.6803           82.5354           2.58004
         59.6999           82.3167           2.37152
         59.7196           80.8747           2.67986
         59.7392           83.5404           2.86849
         59.7588           82.2354           3.01626
         59.7785           82.6319           2.22471
         59.7981           83.8378           2.81090
         59.8177           83.3402           1.54987
         59.8374           85.2252           2.80950
         59.8570           85.2784           2.98377
         59.8766           83.5077           2.50099
         59.8963           84.3222           2.42332
         59.9159           83.5322           3.88638
         59.9355           84.6816           1.73995
         59.9552           82.5594           2.11879
         59.9748           83.2863           3.06474
         59.9945           83.2605           2.43404
         60.0141           84.7792           2.24555
         60.0337           83.8373           3.22196
         60.0534           82.9837           2.35694
         60.0730           83.0564           2.01266
         60.0927           83.6246           3.47069
         60.1123           83.7864           2.07599
         60.1319           82.0165           2.29347
         60.1516           83.0134           2.84149
         60.1712           84.3087           3.05700
         60.1909           84.1514           2.17395
         60.2105           84.7012           2.51646
         60.2302           81.7798           2.51761
         60.2498           84.1582           3.02929
         60.2694           83.2895           1.82599
         60.2891           83.9443           2.39663
         60.3087           83.4148           2.26659
         60.3284           83.5023           2.12151
         60.3480           84.6271           3.73717
         60.3677           83.8684           2.23663
         60.3873           86.0358           1.95838
         60.4070           83.6526           3.30255
         60.4266           85.7095           2.38237
         60.4463           85.0358           1.97272
         60.4659           83.9709           3.22091
         60.4856           84.3747           3.10295
         60.5052           85.6172           1.81267
         60.5249           85.4043           3.42804
         60.5445           83.6727           2.93671
         60.5642           85.2306           2.33813
         60.5838           85.0645           3.10409
         60.6035           85.6482           2.83651
         60.6231           84.3625           2.41851
         60.6428           85.4372           2.54853
         60.6624           85.7484           2.63518
         60.6821           85.9582           2.49372
         60.7017           86.6148           2.03466
         60.7214           85.9022           2.86248
         60.7410           89.2757           2.31891
         60.7607           86.2611           2.48885
         60.7803           85.3865           3.24902
         60.8000           86.2785           1.91766
         60.8197           86.5095           2.16465
         60.8393           87.1280           3.62480
         60.8590           85.4157           2.50249
         60.8786           88.1424           1.83873
         60.8983           88.4413           2.72607
         60.9179           87.3577           2.10374
         60.9376           86.7277           2.13557
         60.9573           86.8039           2.27605
         60.9769           86.8744           2.69418
         60.9966           87.6666           2.76659
         61.0162           88.2623           2.47379
