       Wave (um)         Flux (Jy)  Uncertainty (Jy)
         58.6796           77.3553           1.90756
         58.6992           77.4086           4.09871
         58.7188           77.4487           2.62286
         58.7384           77.4786           1.75027
         58.7580           77.4972           3.40103
         58.7777           77.5107           3.50037
         58.7973           77.5194           2.28547
         58.8169           77.5425           3.09260
         58.8365           77.5641           2.69104
         58.8561           77.6002           3.04677
         58.8757           77.6448           2.68090
         58.8953           77.6948           2.53377
         58.9149           77.7325           2.63868
         58.9346           77.7824           4.09223
         58.9542           77.8183           2.44661
         58.9738           77.8685           2.23597
         58.9934           77.9398           3.44760
         59.0130           78.0176           2.49544
         59.0326           78.1064           2.79555
         59.0523           78.2026           3.65987
         59.0719           78.2981           2.75743
         59.0915           78.3918           2.13440
         59.1111           78.4858           2.41172
         59.1307           78.5967           3.05988
         59.1504           78.7161           2.63710
         59.1700           78.8640           2.71249
         59.1896           79.0163           3.13833
         59.2092           79.1783           1.99448
         59.2289           79.3446           2.65488
         59.2485           79.4913           3.22809
         59.2681           79.6449           2.56223
         59.2877           79.7923           1.91225
         59.3073           79.9394           3.03624
         59.3270           80.0953           2.32778
         59.3466           80.2577           2.40260
         59.3662           80.4137           4.04939
         59.3858           80.5462           2.46672
         59.4055           80.6641           1.85601
         59.4251           80.7702           2.89599
         59.4447           80.8673           1.81980
         59.4644           80.9807           2.28201
         59.4840           81.0789           3.62818
         59.5036           81.1792           2.40253
         59.5232           81.2858           2.25911
         59.5429           81.3843           3.32201
         59.5625           81.4709           2.75555
         59.5821           81.5552           2.57729
         59.6018           81.6488           2.54407
         59.6214           81.7635           2.48029
         59.6410           81.9048           2.75393
         59.6607           82.0590           3.16847
         59.6803           82.2181           2.58004
         59.6999           82.3805           2.37152
         59.7196           82.5490           2.67986
         59.7392           82.7091           2.86849
         59.7588           82.8770           3.01626
         59.7785           83.0302           2.22471
         59.7981           83.1889           2.81090
         59.8177           83.3517           1.54987
         59.8374           83.4862           2.80950
         59.8570           83.5830           2.98377
         59.8766           83.6537           2.50099
         59.8963           83.6944           2.42332
         59.9159           83.7125           3.88638
         59.9355           83.7065           1.73995
         59.9552           83.7044           2.11879
         59.9748           83.6812           3.06474
         59.9945           83.6751           2.43404
         60.0141           83.6405           2.24555
         60.0337           83.6035           3.22196
         60.0534           83.5624           2.35694
         60.0730           83.5236           2.01266
         60.0927           83.4994           3.47069
         60.1123           83.4885           2.07599
         60.1319           83.4950           2.29347
         60.1516           83.5115           2.84149
         60.1712           83.5503           3.05700
         60.1909           83.5977           2.17395
         60.2105           83.6396           2.51646
         60.2302           83.6984           2.51761
         60.2498           83.7455           3.02929
         60.2694           83.8214           1.82599
         60.2891           83.9069           2.39663
         60.3087           84.0040           2.26659
         60.3284           84.0964           2.12151
         60.3480           84.1942           3.73717
         60.3677           84.3027           2.23663
         60.3873           84.3900           1.95838
         60.4070           84.4765           3.30255
         60.4266           84.5488           2.38237
         60.4463           84.6299           1.97272
         60.4659           84.7175           3.22091
         60.4856           84.7982           3.10295
         60.5052           84.8820           1.81267
         60.5249           84.9853           3.42804
         60.5445           85.0947           2.93671
         60.5642           85.1916           2.33813
         60.5838           85.2955           3.10409
         60.6035           85.4015           2.83651
         60.6231           85.5182           2.41851
         60.6428           85.6379           2.54853
         60.6624           85.7690           2.63518
         60.6821           85.9198           2.49372
         60.7017           86.0705           2.03466
         60.7214           86.2134           2.86248
         60.7410           86.3231           2.31891
         60.7607           86.4355           2.48885
         60.7803           86.5364           3.24902
         60.8000           86.6333           1.91766
         60.8197           86.7266           2.16465
         60.8393           86.8280           3.62480
         60.8590           86.9456           2.50249
         60.8786           87.0442           1.83873
         60.8983           87.1445           2.72607
         60.9179           87.2357           2.10374
         60.9376           87.3279           2.13557
         60.9573           87.4189           2.27605
         60.9769           87.5277           2.69418
         60.9966           87.6771           2.76659
         61.0162           87.8217           2.47379
         61.0359           87.9758           2.97943
         61.0555           88.1120           3.08002
         61.0752           88.2499           1.94156
         61.0949           88.3832           3.02612
         61.1145           88.5010           2.42207
         61.1342           88.6264           2.75270
         61.1538           88.7576           3.39907
         61.1735           88.9053           2.29742
         61.1932           89.0348           2.25520
         61.2128           89.1531           2.92503
         61.2325           89.2593           2.36896
         61.2522           89.3451           1.74208
         61.2718           89.4278           2.59506
         61.2915           89.5011           3.29992
         61.3111           89.5857           2.65680
         61.3308           89.6761           2.58189
         61.3505           89.7512           3.40853
         61.3701           89.8191           2.31111
         61.3898           89.8916           1.61402
         61.4095           89.9620           2.93579
         61.4291           89.9986           2.94848
         61.4488           90.0524           1.98859
         61.4685           90.1380           2.55407
         61.4881           90.2530           2.29000
         61.5078           90.3835           1.79202
         61.5275           90.5385           2.14100
         61.5471           90.7082           2.71253
         61.5668           90.8999           2.29563
         61.5865           91.1119           1.91661
         61.6061           91.3305           2.09400
         61.6258           91.5758           1.71093
         61.6455           91.8677           1.65880
         61.6652           92.1959           1.77263
         61.6848           92.5484           1.79473
         61.7045           92.9119           1.46539
         61.7242           93.2710           1.68766
         61.7438           93.5930           1.49836
         61.7635           93.9168           1.31077
         61.7832           94.2419           1.23140
         61.8029           94.5636           1.76394
         61.8225           94.8883          0.919433
         61.8422           95.2170           1.58451
         61.8619           95.5336           1.25929
         61.8815           95.8292           1.09091
         61.9012           96.0867           1.43533
         61.9209           96.2886          0.632026
         61.9406           96.4790          0.963233
         61.9602           96.6422          0.825111
         61.9799           96.7818          0.931661
         61.9996           96.9077          0.726098
         62.0193           97.0105          0.754286
         62.0389           97.0859          0.830073
         62.0586           97.0967          0.827333
         62.0783           97.0650          0.652655
         62.0980           96.9734          0.910113
         62.1176           96.8730          0.982867
         62.1373           96.7467          0.371222
         62.1570           96.5690          0.978030
         62.1767           96.3846          0.781221
         62.1964           96.1618          0.708717
         62.2160           95.9140          0.674030
         62.2357           95.6165          0.578610
         62.2554           95.2843          0.826804
         62.2751           94.9325          0.560844
         62.2947           94.5609          0.785699
         62.3144           94.1846          0.980821
         62.3341           93.7525          0.603902
         62.3538           93.3182          0.748355
         62.3735           92.8788          0.925494
         62.3931           92.4455          0.506713
         62.4128           92.0325          0.889252
         62.4325           91.6412          0.645083
         62.4522           91.2963          0.657550
         62.4719           90.9757           1.04026
         62.4915           90.7139          0.531869
         62.5112           90.4925          0.782354
         62.5309           90.3118          0.729424
         62.5506           90.1720          0.604942
         62.5703           90.0761          0.783645
         62.5900           90.0581          0.567610
         62.6096           90.1009          0.763772
         62.6293           90.1687           1.20246
         62.6490           90.2401          0.691229
         62.6687           90.3406           1.15935
         62.6884           90.4410          0.724133
         62.7081           90.5453          0.769937
         62.7277           90.6671           1.23937
         62.7474           90.8027          0.795861
         62.7671           90.9638           1.03978
         62.7868           91.1245          0.940248
         62.8065           91.2858           1.13755
         62.8262           91.4524          0.869055
         62.8459           91.6317          0.741515
         62.8655           91.7967           1.43241
         62.8852           91.9636          0.773958
         62.9049           92.1872           1.38250
         62.9246           92.4431           1.47313
         62.9443           92.6765           1.11499
         62.9640           92.9240           1.14135
         62.9837           93.1662           1.15618
         63.0034           93.4108          0.855442
         63.0230           93.6395           1.43270
         63.0427           93.8527          0.933309
         63.0624           94.0629           1.55107
         63.0821           94.2870           1.13560
         63.1018           94.5080           1.22833
         63.1215           94.7056           1.33245
         63.1412           94.8708          0.966552
         63.1609           95.0163          0.784327
         63.1806           95.0912          0.972486
         63.2003           95.1917          0.700132
         63.2199           95.2752           1.19369
         63.2396           95.3577           1.49447
         63.2593           95.4294           1.10301
         63.2790           95.4929           1.23053
         63.2987           95.5589           1.62510
         63.3184           95.6074           1.58136
         63.3381           95.6379          0.982902
         63.3578           95.6571           1.91001
         63.3775           95.7107           1.89012
         63.3972           95.7980           1.54322
         63.4169           95.8712           1.47417
         63.4365           95.9836           2.40528
         63.4562           96.1105           1.28099
         63.4759           96.2339           1.58049
         63.4956           96.3595           1.58977
         63.5153           96.4983           1.59580
         63.5350           96.6542           1.37836
         63.5547           96.8245           1.51048
         63.5744           97.0242           1.72580
         63.5941           97.2455           1.27405
         63.6138           97.4834           1.60652
         63.6335           97.7289           1.84541
         63.6532           97.9760           1.88755
         63.6729           98.2282           1.28721
         63.6926           98.4837           1.89070
         63.7123           98.7463           1.60487
         63.7320           99.0160           1.31392
         63.7517           99.2892           1.99635
         63.7714           99.5547           1.54251
         63.7911           99.7924           1.25741
         63.8107           100.025           1.46822
         63.8304           100.233           1.62032
         63.8501           100.420           1.20075
         63.8698           100.606           1.47020
         63.8895           100.785           1.91805
         63.9092           100.982           1.50583
         63.9289           101.170           1.34075
         63.9486           101.336           1.96517
         63.9683           101.478           2.31858
         63.9880           101.621           1.38710
         64.0077           101.765           1.21675
         64.0274           101.898           2.12537
         64.0471           102.056           1.84758
