IRS - TSAO-13		
Wavelength (um)	Flux (Jy)	Error
18.5572	0.682057	NaN
18.6419	0.697278	NaN
18.7266	0.718785	NaN
18.8113	0.743774	NaN
18.8959	0.765003	NaN
18.9806	0.788925	NaN
19.0653	0.794175	NaN
19.15	0.829233	NaN
19.2346	0.874675	NaN
19.3193	0.928756	NaN
19.404	0.972954	NaN
19.4887	0.996785	NaN
19.5734	1.03718	NaN
19.658	1.04893	NaN
19.7427	1.10171	NaN
19.8274	1.18212	NaN
19.9121	1.21915	NaN
19.9967	1.25532	NaN
20.0814	1.30678	NaN
20.1661	1.37682	NaN
20.2508	1.41773	NaN
20.3354	1.47064	NaN
20.4201	1.53592	NaN
20.5048	1.59393	NaN
20.5895	1.60959	NaN
20.6742	1.74414	NaN
20.8435	1.87472	NaN
21.0129	1.97358	NaN
21.1822	2.12047	NaN
21.3516	2.2735	NaN
21.5209	2.43542	NaN
21.6903	2.60045	NaN
21.8596	2.78337	NaN
22.029	2.9352	NaN
22.1983	3.06984	NaN
22.3677	3.22718	NaN
22.537	3.50465	NaN
22.7064	3.77499	NaN
22.8757	4.07787	NaN
23.0451	4.38192	NaN
23.2145	4.61113	NaN
23.3838	4.82783	NaN
23.5532	5.19636	NaN
23.7225	5.61755	NaN
23.8919	6.00089	NaN
24.0612	6.42014	NaN
24.2306	6.83498	NaN
24.3999	7.5159	NaN
24.5693	7.91436	NaN
24.7386	8.16944	NaN
24.908	8.52638	NaN
25.0774	9.10462	NaN
25.2467	9.71359	NaN
25.416	10.2816	NaN
25.5854	10.7113	NaN
25.7548	11.0424	NaN
25.9241	11.7095	NaN
26.0935	12.2206	NaN
26.2628	12.8843	NaN
26.4322	13.9971	NaN
26.6015	13.5471	NaN
26.7709	14.7226	NaN
26.9402	14.3671	NaN
27.1096	15.611	NaN
27.2789	15.1738	NaN
27.4483	16.3487	NaN
27.6176	17.1569	NaN
27.787	16.7408	NaN
27.9564	16.9827	NaN
28.1257	17.2499	NaN
28.2951	17.8928	NaN
28.4644	18.4747	NaN
28.6338	19.0302	NaN
28.8031	19.4595	NaN
28.9725	19.8593	NaN
29.1418	21.4298	NaN
29.3112	22.7473	NaN
29.4805	22.8226	NaN
29.6499	21.495	NaN
29.8193	22.7877	NaN
29.9886	22.6942	NaN
30.158	22.771	NaN
30.3273	24.3244	NaN
30.4967	24.7676	NaN
30.666	25.38	NaN
30.8354	26.0108	NaN
31.0047	26.027	NaN
31.1741	25.8446	NaN
31.3434	25.244	NaN
31.5128	25.1995	NaN
31.6821	25.0464	NaN
31.8515	24.8885	NaN
32.0209	24.5017	NaN
32.1902	24.4128	NaN
32.3596	24.9312	NaN
32.5289	25.218	NaN
32.6983	24.8121	NaN
32.8676	24.4287	NaN
33.037	24.0941	NaN
33.2063	23.8481	NaN
33.3757	24.0066	NaN
33.545	24.7235	NaN
33.7144	24.63	NaN
33.8837	24.2887	NaN
34.0531	25.1674	NaN
34.2225	25.3642	NaN
34.3918	25.2783	NaN
34.5612	25.5507	NaN
34.7305	26.0188	NaN
34.8999	25.936	NaN
35.0692	24.8602	NaN
35.2386	23.9464	NaN
35.4079	25.1666	NaN
35.5773	25.9418	NaN
35.7466	24.7993	NaN
35.916	25.6916	NaN
36.0853	25.7504	NaN
