       Wave (um)         Flux (Jy)
         206.441          -2.01149
         206.484          -2.41844
         206.527          -2.78104
         206.569          -3.05454
         206.612          -3.21187
         206.655          -3.23487
         206.697          -3.10316
         206.740          -2.79011
         206.783          -2.29052
         206.826          -1.62189
         206.868         -0.839497
         206.911        -0.0341726
         206.954          0.688692
         206.997           1.23919
         207.040           1.57035
         207.083           1.69063
         207.125           1.65771
         207.168           1.55652
         207.211           1.47200
         207.254           1.46575
         207.297           1.56278
         207.340           1.74895
         207.383           1.97627
         207.426           2.17306
         207.469           2.25805
         207.512           2.15812
         207.555           1.82908
         207.598           1.27470
         207.642          0.557892
         207.685         -0.215366
         207.728         -0.912602
         207.771          -1.41439
         207.814          -1.65118
         207.857          -1.62414
         207.901          -1.40082
         207.944          -1.08823
         207.987         -0.793608
         208.030         -0.590849
         208.074         -0.504204
         208.117         -0.514311
         208.160         -0.579045
         208.204         -0.656130
         208.247         -0.716440
         208.290         -0.743769
         208.334         -0.726104
         208.377         -0.648413
         208.421         -0.494398
         208.464         -0.257933
         208.507         0.0421083
         208.551          0.353286
         208.594          0.615079
         208.638          0.766956
         208.682          0.777919
         208.725          0.662735
         208.769          0.476678
         208.812          0.291200
         208.856          0.162146
         208.899          0.105823
         208.943         0.0955868
         208.987         0.0800113
         209.030         0.0125715
         209.074         -0.122001
         209.118         -0.298887
         209.162         -0.464508
         209.205         -0.561389
         209.249         -0.552839
         209.293         -0.435374
         209.337         -0.234460
         209.381         0.0112422
         209.424          0.269329
         209.468          0.530274
         209.512          0.765357
         209.556          0.956056
         209.600           1.07863
         209.644           1.10381
         209.688           1.00894
         209.732          0.793139
         209.776          0.486059
         209.820          0.144035
         209.864         -0.166216
         209.908         -0.388582
         209.952         -0.493995
         209.996         -0.485063
         210.040         -0.389205
         210.084         -0.245775
         210.129        -0.0953071
         210.173         0.0255049
         210.217         0.0833962
         210.261         0.0489350
         210.305        -0.0977188
         210.350         -0.356425
         210.394         -0.699378
         210.438          -1.05359
         210.482          -1.33007
         210.527          -1.44739
         210.571          -1.36104
         210.615          -1.08360
         210.660         -0.683394
         210.704         -0.261044
         210.749         0.0868738
         210.793          0.300780
         210.837          0.373703
         210.882          0.344597
         210.926          0.275190
         210.971          0.223189
         211.015          0.225122
         211.060          0.293825
         211.104          0.427212
         211.149          0.617960
         211.194          0.855786
         211.238           1.12089
         211.283           1.37355
         211.328           1.54900
         211.372           1.58576
         211.417           1.43532
         211.462           1.09165
         211.506          0.605749
         211.551         0.0755473
         211.596         -0.384693
         211.641         -0.684205
         211.685         -0.786256
         211.730         -0.716163
         211.775         -0.545069
         211.820         -0.358501
         211.865         -0.225574
         211.910         -0.182675
         211.955         -0.234650
         212.000         -0.367347
         212.044         -0.559211
         212.089         -0.784113
         212.134          -1.00476
         212.179          -1.16571
         212.224          -1.19764
         212.270          -1.03856
         212.315         -0.656909
         212.360        -0.0850384
         212.405          0.576184
         212.450           1.17991
         212.495           1.57820
         212.540           1.67152
         212.585           1.44244
         212.631          0.958455
         212.676          0.345061
         212.721         -0.257985
         212.766         -0.737142
         212.812          -1.02723
         212.857          -1.11142
         212.902          -1.00731
         212.948         -0.751588
         212.993         -0.393154
         213.038        0.00614551
         213.084          0.370776
         213.129          0.620725
         213.175          0.693941
         213.220          0.573544
         213.265          0.305909
         213.311       -0.00505005
         213.356         -0.229794
         213.402         -0.260890
         213.448        -0.0555528
         213.493          0.346647
         213.539          0.839386
         213.584           1.29081
         213.630           1.59035
         213.676           1.68036
         213.721           1.56026
         213.767           1.26773
         213.813          0.851661
         213.858          0.354933
         213.904         -0.185716
         213.950         -0.726459
         213.996          -1.20561
         214.041          -1.54786
         214.087          -1.68831
         214.133          -1.60457
         214.179          -1.33926
         214.225         -0.995272
         214.271         -0.703127
         214.317         -0.571633
         214.363         -0.645904
         214.409         -0.892377
         214.455          -1.21762
         214.501          -1.50961
         214.547          -1.67986
         214.593          -1.68620
         214.639          -1.52900
         214.685          -1.22949
         214.731         -0.808245
         214.777         -0.279192
         214.823          0.338092
         214.869          0.999465
         214.916           1.62860
         214.962           2.13219
         215.008           2.43453
         215.054           2.51288
         215.100           2.41054
         215.147           2.21351
         215.193           2.02124
         215.239           1.88152
         215.286           1.77139
         215.332           1.61641
         215.378           1.34061
         215.425          0.920328
         215.471          0.409059
         215.518        -0.0837319
         215.564         -0.450103
         215.611         -0.645360
         215.657         -0.716390
         215.704         -0.777543
         215.750         -0.944504
         215.797          -1.26347
         215.843          -1.67712
         215.890          -2.04968
         215.936          -2.23888
         215.983          -2.17369
         216.030          -1.89252
         216.076          -1.51705
         216.123          -1.17524
         216.170         -0.938673
         216.217         -0.776512
         216.263         -0.595150
         216.310         -0.321964
         216.357         0.0226786
         216.404          0.321478
         216.451          0.441648
         216.497          0.355207
         216.544          0.205938
         216.591          0.243969
         216.638          0.636467
         216.685           1.27902
         216.732           1.79224
         216.779           1.76127
         216.826           1.09475
         216.873          0.184180
         216.920         -0.321550
         216.967        -0.0190765
         217.014          0.908666
         217.061           1.80634
         217.109           2.02675
         217.156           1.39661
         217.203          0.275668
         217.250         -0.751737
         217.297          -1.28211
         217.344          -1.29355
         217.392          -1.04797
         217.439         -0.846873
         217.486         -0.833029
         217.534         -0.950096
         217.581          -1.04254
         217.628         -0.996442
         217.676         -0.821988
         217.723         -0.634931
         217.770         -0.564002
         217.818         -0.652518
         217.865         -0.817808
         217.913         -0.891819
         217.960         -0.716864
         218.008         -0.238466
         218.055          0.457611
         218.103           1.18433
         218.150           1.73351
         218.198           1.97417
         218.246           1.89548
         218.293           1.58815
         218.341           1.18171
         218.389          0.778074
         218.436          0.417907
         218.484         0.0935111
         218.532         -0.208836
         218.580         -0.470662
         218.627         -0.634727
         218.675         -0.636291
         218.723         -0.452136
         218.771         -0.134757
         218.819          0.192940
         218.867          0.384374
         218.915          0.334763
         218.963         0.0312170
         219.010         -0.438960
         219.058         -0.924193
         219.106          -1.26632
         219.154          -1.38129
         219.202          -1.25912
         219.251         -0.954198
         219.299         -0.547486
         219.347         -0.108337
         219.395          0.322126
         219.443          0.721583
         219.491           1.06401
         219.539           1.30526
         219.588           1.39050
         219.636           1.28218
         219.684          0.992159
         219.732          0.595946
         219.781          0.216200
         219.829        -0.0205111
         219.877        -0.0346084
         219.926          0.172976
         219.974          0.520335
         220.022          0.876899
         220.071           1.11430
         220.119           1.15600
         220.168          0.959142
         220.216          0.544823
         220.265        -0.0312311
         220.313         -0.700829
         220.362          -1.39162
         220.410          -2.02430
         220.459          -2.50982
         220.508          -2.75820
         220.556          -2.70240
         220.605          -2.32938
         220.654          -1.70078
         220.702         -0.948675
         220.751         -0.241097
         220.800          0.270806
         220.848          0.502992
         220.897          0.464319
         220.946          0.246960
         220.995        -0.0126207
         221.044         -0.184178
         221.093         -0.183672
         221.141         0.0109261
         221.190          0.368514
         221.239          0.827816
         221.288           1.31943
         221.337           1.77740
         221.386           2.14022
         221.435           2.34973
         221.484           2.35571
         221.533           2.13029
         221.583           1.68596
         221.632           1.08569
         221.681          0.435742
         221.730         -0.140466
         221.779         -0.539113
         221.828         -0.708036
         221.877         -0.661281
         221.927         -0.470025
         221.976         -0.235890
         222.025        -0.0587278
         222.075        -0.0115605
         222.124         -0.129721
         222.173         -0.412153
         222.223         -0.828835
         222.272          -1.32708
         222.321          -1.83513
         222.371          -2.26685
         222.420          -2.53206
         222.470          -2.55569
         222.519          -2.30058
         222.569          -1.78484
         222.618          -1.08413
         222.668         -0.314327
         222.718          0.399792
         222.767          0.958423
         222.817           1.30985
         222.866           1.45479
         222.916           1.43387
         222.966           1.30663
         223.016           1.13325
         223.065          0.965479
         223.115          0.845781
         223.165          0.806542
         223.215          0.861243
         223.265           1.01831
         223.314           1.24640
         223.364           1.47739
         223.414           1.62196
         223.464           1.59749
         223.514           1.35966
         223.564          0.923447
         223.614          0.361432
         223.664         -0.220945
         223.714         -0.722719
         223.764          -1.08014
         223.814          -1.28027
         223.864          -1.35085
         223.914          -1.33463
         223.965          -1.26411
         224.015          -1.15070
         224.065         -0.993195
         224.115         -0.797776
         224.165         -0.594807
         224.216         -0.440915
         224.266         -0.406323
         224.316         -0.508131
         224.367         -0.721130
         224.417         -0.967342
         224.467          -1.13782
         224.518          -1.13421
         224.568         -0.909170
         224.619         -0.486251
         224.669         0.0492291
         224.720          0.583106
         224.770           1.01332
         224.821           1.28004
         224.871           1.37396
         224.922           1.32413
         224.972           1.17527
         225.023          0.969611
         225.074          0.740010
         225.124          0.514645
         225.175          0.324064
         225.226          0.201700
         225.276          0.171463
         225.327          0.224924
         225.378          0.344748
         225.429          0.472984
         225.480          0.536981
         225.530          0.478759
         225.581          0.277883
         225.632        -0.0406301
         225.683         -0.416988
         225.734         -0.779557
         225.785          -1.06834
         225.836          -1.24822
         225.887          -1.30900
         225.938          -1.25636
         225.989          -1.10342
         226.040         -0.869588
         226.091         -0.586619
         226.142         -0.304226
         226.194        -0.0859617
         226.245        0.00929152
         226.296        -0.0449621
         226.347         -0.221024
         226.398         -0.437843
         226.450         -0.562937
         226.501         -0.479073
         226.552         -0.128258
         226.604          0.458793
         226.655           1.16578
         226.706           1.82755
         226.758           2.28592
         226.809           2.44092
         226.861           2.27625
         226.912           1.85156
         226.964           1.26886
         227.015          0.631257
         227.067         0.0137434
         227.118         -0.544200
         227.170          -1.02587
         227.221          -1.41758
         227.273          -1.69571
         227.325          -1.82852
         227.376          -1.79051
         227.428          -1.57915
         227.480          -1.22311
         227.532         -0.777145
         227.583         -0.304554
         227.635          0.141155
         227.687          0.526997
         227.739          0.839184
         227.791           1.07392
         227.843           1.22749
         227.895           1.29409
         227.947           1.27207
         227.999           1.17431
         228.051           1.03353
         228.103          0.896243
         228.155          0.805936
         228.207          0.782616
         228.259          0.810093
         228.311          0.838595
         228.363          0.803405
         228.415          0.651371
         228.467          0.363534
         228.520        -0.0342001
         228.572         -0.473144
         228.624         -0.892332
         228.676          -1.23049
         228.729          -1.44768
         228.781          -1.53137
         228.833          -1.49139
         228.886          -1.35194
         228.938          -1.14606
         228.991         -0.913198
         229.043         -0.697413
