       Wave (um)         Flux (Jy)
         208.682           343.624
         208.725           343.612
         208.769           343.599
         208.812           343.585
         208.856           343.568
         208.899           343.549
         208.943           343.528
         208.987           343.505
         209.030           343.479
         209.074           343.449
         209.118           343.414
         209.162           343.373
         209.205           343.323
         209.249           343.265
         209.293           343.199
         209.337           343.126
         209.381           343.047
         209.424           342.962
         209.468           342.872
         209.512           342.775
         209.556           342.672
         209.600           342.560
         209.644           342.440
         209.688           342.309
         209.732           342.169
         209.776           342.018
         209.820           341.857
         209.864           341.686
         209.908           341.508
         209.952           341.324
         209.996           341.136
         210.040           340.949
         210.084           340.765
         210.129           340.588
         210.173           340.420
         210.217           340.264
         210.261           340.122
         210.305           339.996
         210.350           339.889
         210.394           339.802
         210.438           339.734
         210.482           339.687
         210.527           339.657
         210.571           339.645
         210.615           339.647
         210.660           339.664
         210.704           339.693
         210.749           339.732
         210.793           339.777
         210.837           339.824
         210.882           339.870
         210.926           339.910
         210.971           339.940
         211.015           339.959
         211.060           339.964
         211.104           339.954
         211.149           339.926
         211.194           339.878
         211.238           339.809
         211.283           339.715
         211.328           339.598
         211.372           339.458
         211.417           339.296
         211.462           339.116
         211.506           338.918
         211.551           338.707
         211.596           338.485
         211.641           338.255
         211.685           338.022
         211.730           337.790
         211.775           337.563
         211.820           337.346
         211.865           337.139
         211.910           336.945
         211.955           336.762
         212.000           336.592
         212.044           336.433
         212.089           336.285
         212.134           336.149
         212.179           336.024
         212.224           335.909
         212.270           335.801
         212.315           335.700
         212.360           335.603
         212.405           335.509
         212.450           335.418
         212.495           335.330
         212.540           335.244
         212.585           335.158
         212.631           335.072
         212.676           334.985
         212.721           334.894
         212.766           334.800
         212.812           334.703
         212.857           334.605
         212.902           334.504
         212.948           334.401
         212.993           334.296
         213.038           334.186
         213.084           334.071
         213.129           333.951
         213.175           333.825
         213.220           333.693
         213.265           333.554
         213.311           333.406
         213.356           333.245
         213.402           333.070
         213.448           332.879
         213.493           332.671
         213.539           332.446
         213.584           332.205
         213.630           331.949
         213.676           331.679
         213.721           331.396
         213.767           331.102
         213.813           330.799
         213.858           330.492
         213.904           330.185
         213.950           329.884
         213.996           329.592
         214.041           329.315
         214.087           329.054
         214.133           328.815
         214.179           328.600
         214.225           328.415
         214.271           328.264
         214.317           328.151
         214.363           328.078
         214.409           328.043
         214.455           328.046
         214.501           328.083
         214.547           328.150
         214.593           328.241
         214.639           328.351
         214.685           328.472
         214.731           328.595
         214.777           328.713
         214.823           328.818
         214.869           328.903
         214.916           328.962
         214.962           328.993
         215.008           328.993
         215.054           328.958
         215.100           328.884
         215.147           328.769
         215.193           328.609
         215.239           328.404
         215.286           328.156
