       Wave (um)         Flux (Jy)  Uncertainty (Jy)
         58.5227          0.646763           3.51359
         58.5423         -0.470969           2.66585
         58.5620          0.811011           2.18256
         58.5816          -1.14199           3.51431
         58.6012         0.0330627           2.64614
         58.6208          0.575630           2.17494
         58.6404         -0.253711           3.95934
         58.6600         -0.283360           2.51503
         58.6796          0.352595           1.90756
         58.6992          0.290839           4.09871
         58.7188          0.604778           2.62286
         58.7384           1.35369           1.75027
         58.7580          0.216630           3.40103
         58.7777         -0.746568           3.50037
         58.7973         -0.310833           2.28547
         58.8169         -0.828902           3.09260
         58.8365         -0.112213           2.69104
         58.8561         -0.565586           3.04677
         58.8757         -0.262868           2.68090
         58.8953         -0.284435           2.53377
         58.9149           1.21168           2.63868
         58.9346       -0.00818408           4.09223
         58.9542          0.452139           2.44661
         58.9738         -0.187843           2.23597
         58.9934         -0.586708           3.44760
         59.0130         -0.169369           2.49544
         59.0326         -0.374604           2.79555
         59.0523          0.357702           3.65987
         59.0719          0.379733           2.75743
         59.0915        -0.0943621           2.13440
         59.1111         -0.240544           2.41172
         59.1307          -1.06705           3.05988
         59.1504          0.469227           2.63710
         59.1700          -1.32051           2.71249
         59.1896          0.448005           3.13833
         59.2092          0.610089           1.99448
         59.2289         -0.606473           2.65488
         59.2485          0.422540           3.22809
         59.2681          0.575934           2.56223
         59.2877         -0.157561           1.91225
         59.3073         -0.791362           3.03624
         59.3270         -0.145555           2.32778
         59.3466          0.602490           2.40260
         59.3662          0.779400           4.04939
         59.3858         -0.302065           2.46672
         59.4055          0.833801           1.85601
         59.4251         -0.330773           2.89599
         59.4447          0.219940           1.81980
         59.4644          -1.40434           2.28201
         59.4840           1.02545           3.62818
         59.5036         -0.253446           2.40253
         59.5232         -0.528777           2.25911
         59.5429          0.739570           3.32201
         59.5625           1.22083           2.75555
         59.5821          0.416540           2.57729
         59.6018          -1.44360           2.54407
         59.6214         -0.380609           2.48029
         59.6410         -0.411552           2.75393
         59.6607         -0.223353           3.16847
         59.6803          0.317302           2.58004
         59.6999        -0.0637878           2.37152
