 M_env_dot         R_cen         R_inf         tstar     R_env_max     theta_cav  rho_cav_center  rho_cav_edge         rstar    M_disk_dot        M_disk          beta          h100       rho_cav    percentile      absolute      relative
# # Test uniform density in outflow cavity
# 3.000000e-06  1.500000e+01  2.000000e+03  4.500000e+03  1.000000e+04  1.552000e+01  5.270000e-18  4.000000e+01  5.000000e+00  6.500000e-07  5.000000e-01  1.093000e+00  8.123000e+00  1.000000e-21          95.0           2.0          1.02
# 3.000000e-07  1.500000e+01  2.000000e+03  4.500000e+03  1.000000e+04  1.552000e+01  5.270000e-18  4.000000e+01  5.000000e+00  6.500000e-07  5.000000e-01  1.093000e+00  8.123000e+00  1.000000e-21          95.0           2.0          1.02
# 3.000000e-05  5.000000e+01  2.000000e+03  4.500000e+03  1.000000e+04  1.552000e+01  5.270000e-18  4.000000e+01  5.000000e+00  6.500000e-07  5.000000e-01  1.093000e+00  8.123000e+00  1.000000e-21          95.0           2.0          1.02
# 3.000000e-06  5.000000e+01  2.000000e+03  4.500000e+03  1.000000e+04  1.552000e+01  5.270000e-18  4.000000e+01  5.000000e+00  6.500000e-07  5.000000e-01  1.093000e+00  8.123000e+00  1.000000e-21          95.0           2.0          1.02
# 3.000000e-07  5.000000e+01  2.000000e+03  4.500000e+03  1.000000e+04  1.552000e+01  5.270000e-18  4.000000e+01  5.000000e+00  6.500000e-07  5.000000e-01  1.093000e+00  8.123000e+00  1.000000e-21          95.0           2.0          1.02
# 3.000000e-05  1.000000e+02  2.000000e+03  4.500000e+03  1.000000e+04  1.552000e+01  5.270000e-18  4.000000e+01  5.000000e+00  6.500000e-07  5.000000e-01  1.093000e+00  8.123000e+00  1.000000e-21          95.0           2.0          1.02
# 3.000000e-06  1.000000e+02  2.000000e+03  4.500000e+03  1.000000e+04  1.552000e+01  5.270000e-18  4.000000e+01  5.000000e+00  6.500000e-07  5.000000e-01  1.093000e+00  8.123000e+00  1.000000e-21          95.0           2.0          1.02
# 3.000000e-07  1.000000e+02  2.000000e+03  4.500000e+03  1.000000e+04  1.552000e+01  5.270000e-18  4.000000e+01  5.000000e+00  6.500000e-07  5.000000e-01  1.093000e+00  8.123000e+00  1.000000e-21          95.0           2.0          1.02
# # Pick one model testing Q
# 3.000000e-07  5.000000e+01  3.500000e+03  4.500000e+03  1.000000e+04  1.552000e+01  5.270000e-18  4.000000e+01  5.000000e+00  6.500000e-07  5.000000e-01  1.093000e+00  8.123000e+00  1.000000e-21          95.0           1.5          1.02
# 3.000000e-07  5.000000e+01  3.500000e+03  4.500000e+03  1.000000e+04  1.552000e+01  5.270000e-18  4.000000e+01  5.000000e+00  6.500000e-07  5.000000e-01  1.093000e+00  8.123000e+00  1.000000e-21          95.0           2.0          1.02
# 3.000000e-07  5.000000e+01  3.500000e+03  4.500000e+03  1.000000e+04  1.552000e+01  5.270000e-18  4.000000e+01  5.000000e+00  6.500000e-07  5.000000e-01  1.093000e+00  8.123000e+00  1.000000e-21          95.0           2.5          1.02
# # grid on tstar with R_inf = 5000 AU
# 3.000000e-07  5.000000e+01  5.000000e+03  3.500000e+03  1.000000e+04  1.552000e+01  5.270000e-18  4.000000e+01  5.000000e+00  6.500000e-07  5.000000e-01  1.093000e+00  8.123000e+00  1.000000e-21          95.0           2.5          1.02
# 3.000000e-07  5.000000e+01  5.000000e+03  4.500000e+03  1.000000e+04  1.552000e+01  5.270000e-18  4.000000e+01  5.000000e+00  6.500000e-07  5.000000e-01  1.093000e+00  8.123000e+00  1.000000e-21          95.0           2.5          1.02
# 3.000000e-07  5.000000e+01  5.000000e+03  5.500000e+03  1.000000e+04  1.552000e+01  5.270000e-18  4.000000e+01  5.000000e+00  6.500000e-07  5.000000e-01  1.093000e+00  8.123000e+00  1.000000e-21          95.0           2.5          1.02
# # grid on the extended distance of constants density in outflow cavity with R_inf = 5000 AU
# 3.000000e-07  5.000000e+01  5.000000e+03  4.500000e+03  1.000000e+04  1.552000e+01  5.270000e-18  2.000000e+01  5.000000e+00  6.500000e-07  5.000000e-01  1.093000e+00  8.123000e+00  1.000000e-21          95.0           2.5          1.02
# 3.000000e-07  5.000000e+01  5.000000e+03  4.500000e+03  1.000000e+04  1.552000e+01  5.270000e-18  3.000000e+01  5.000000e+00  6.500000e-07  5.000000e-01  1.093000e+00  8.123000e+00  1.000000e-21          95.0           2.5          1.02
# 3.000000e-07  5.000000e+01  5.000000e+03  4.500000e+03  1.000000e+04  1.552000e+01  5.270000e-18  4.000000e+01  5.000000e+00  6.500000e-07  5.000000e-01  1.093000e+00  8.123000e+00  1.000000e-21          95.0           2.5          1.02
# various combinations of disk parameters
3.000000e-07  5.000000e+01  5.000000e+03  4.500000e+03  1.000000e+04  1.552000e+01  5.270000e-18  2.000000e+01  5.000000e+00  6.500000e-07  8.000000e-01  1.093000e+00  8.123000e+00  1.000000e-21          95.0           2.5          1.02
3.000000e-07  5.000000e+01  5.000000e+03  4.500000e+03  1.000000e+04  1.552000e+01  5.270000e-18  2.000000e+01  5.000000e+00  6.500000e-07  5.000000e-01  1.200000e+00  8.123000e+00  1.000000e-21          95.0           2.5          1.02
3.000000e-07  5.000000e+01  5.000000e+03  4.500000e+03  1.000000e+04  1.552000e+01  5.270000e-18  2.000000e+01  5.000000e+00  6.500000e-07  5.000000e-01  1.093000e+00  1.000000e+01  1.000000e-21          95.0           2.5          1.02
3.000000e-07  5.000000e+01  5.000000e+03  4.500000e+03  1.000000e+04  1.552000e+01  5.270000e-18  2.000000e+01  5.000000e+00  6.500000e-06  5.000000e-01  1.093000e+00  8.123000e+00  1.000000e-21          95.0           2.5          1.02
3.000000e-07  5.000000e+01  5.000000e+03  4.500000e+03  1.000000e+04  1.552000e+01  5.270000e-18  2.000000e+01  5.000000e+00  6.500000e-07  3.000000e-01  1.093000e+00  8.123000e+00  1.000000e-21          95.0           2.5          1.02
# grid on cavity opening angle
3.000000e-07  5.000000e+01  5.000000e+03  4.500000e+03  1.000000e+04  1.000000e+01  5.270000e-18  2.000000e+01  5.000000e+00  6.500000e-07  5.000000e-01  1.093000e+00  8.123000e+00  1.000000e-21          95.0           2.5          1.02
3.000000e-07  5.000000e+01  5.000000e+03  4.500000e+03  1.000000e+04  2.000000e+01  5.270000e-18  2.000000e+01  5.000000e+00  6.500000e-07  5.000000e-01  1.093000e+00  8.123000e+00  1.000000e-21          95.0           2.5          1.02
3.000000e-07  5.000000e+01  5.000000e+03  4.500000e+03  1.000000e+04  2.500000e+01  5.270000e-18  2.000000e+01  5.000000e+00  6.500000e-07  5.000000e-01  1.093000e+00  8.123000e+00  1.000000e-21          95.0           2.5          1.02
