    Model#             age              Cs          Omega0           tstar       R_env_max       theta_cav  rho_cav_center    rho_cav_edge           rstar      M_disk_dot          M_disk            beta            h100         rho_cav           d_sub       M_env_dot           R_inf           R_cen           mstar      percentile        absolute        relative      view_angle      total_mass 
   Model69    1.000000e+04    5.000000e-01    2.527800e-13    5.100000e+03    4.125300e+04    2.000000e+01    5.000000e-19    2.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.054025e+03    3.880104e-01    2.896073e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    2.039297e-01 
   Model70    1.000000e+04    5.000000e-01    2.527800e-13    5.100000e+03    4.125300e+04    2.000000e+01    5.000000e-19    1.500000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.054025e+03    3.880104e-01    2.896073e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    2.039253e-01 
   Model71    1.000000e+02    5.000000e-01    2.527800e-13    5.100000e+03    4.125300e+04    2.000000e+01    5.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.054025e+01    3.880104e-07    2.896073e-03    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    1.901792e-01 
   Model72    9.000000e+03    5.000000e-01    2.527800e-13    5.100000e+03    4.125300e+04    2.000000e+01    5.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    9.486223e+02    2.828596e-01    2.606466e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    2.033552e-01 
   Model73    1.250000e+04    5.000000e-01    2.527800e-13    5.100000e+03    4.125300e+04    2.000000e+01    5.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.317531e+03    7.578327e-01    3.620091e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    2.119429e-01 
   Model74    1.500000e+04    5.000000e-01    2.527800e-13    5.100000e+03    4.125300e+04    2.000000e+01    5.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.581037e+03    1.309535e+00    4.344109e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    2.039622e-01 
   Model75    1.750000e+04    5.000000e-01    2.527800e-13    5.100000e+03    4.125300e+04    2.000000e+01    5.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.844543e+03    2.079493e+00    5.068127e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    2.098277e-01 
   Model76    2.000000e+04    5.000000e-01    2.527800e-13    5.100000e+03    4.125300e+04    2.000000e+01    5.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    2.108050e+03    3.104083e+00    5.792146e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    2.141488e-01 
   Model77    3.000000e+04    5.000000e-01    2.527800e-13    5.100000e+03    4.125300e+04    2.000000e+01    5.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    3.162074e+03    1.047628e+01    8.688219e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    2.107565e-01 
   Model78    4.000000e+04    5.000000e-01    2.527800e-13    5.100000e+03    4.125300e+04    2.000000e+01    5.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    4.216099e+03    2.483266e+01    1.158429e+00    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    2.140168e-01 
   Model79    5.000000e+04    5.000000e-01    2.527800e-13    5.100000e+03    4.125300e+04    2.000000e+01    5.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    5.270124e+03    4.850129e+01    1.448036e+00    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    2.127579e-01 
   Model80    1.000000e+05    5.000000e-01    2.527800e-13    5.100000e+03    4.125300e+04    2.000000e+01    5.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.054025e+04    3.880104e+02    2.896073e+00    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    2.172709e-01 
   Model81    1.100000e+04    5.000000e-01    2.527800e-13    5.100000e+03    4.125300e+04    2.000000e+01    5.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.159427e+03    5.164418e-01    3.185680e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    2.035896e-01 
   Model82    1.200000e+04    5.000000e-01    2.527800e-13    5.100000e+03    4.125300e+04    2.000000e+01    5.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.264830e+03    6.704819e-01    3.475287e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    2.039651e-01 
   Model83    5.000000e+03    5.000000e-01    2.527800e-13    5.100000e+03    4.125300e+04    2.000000e+01    5.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    5.270124e+02    4.850129e-02    1.448036e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    2.129331e-01 
   Model84    1.300000e+04    5.000000e-01    2.527800e-13    5.100000e+03    4.125300e+04    2.000000e+01    5.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.370232e+03    8.524588e-01    3.764895e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    2.042683e-01 
   Model85    1.400000e+04    5.000000e-01    2.527800e-13    5.100000e+03    4.125300e+04    2.000000e+01    5.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.475635e+03    1.064700e+00    4.054502e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    2.037611e-01 
   Model86    1.210000e+04    5.000000e-01    2.527800e-13    5.100000e+03    4.125300e+04    2.000000e+01    5.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.275370e+03    6.873840e-01    3.504248e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    2.022078e-01 
   Model87    1.220000e+04    5.000000e-01    2.527800e-13    5.100000e+03    4.125300e+04    2.000000e+01    5.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.285910e+03    7.045678e-01    3.533209e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    2.177117e-01 
   Model88    1.230000e+04    5.000000e-01    2.527800e-13    5.100000e+03    4.125300e+04    2.000000e+01    5.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.296450e+03    7.220357e-01    3.562170e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    2.157899e-01 
   Model89    1.240000e+04    5.000000e-01    2.527800e-13    5.100000e+03    4.125300e+04    2.000000e+01    5.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.306991e+03    7.397899e-01    3.591130e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    2.138004e-01 
   Model90    1.260000e+04    5.000000e-01    2.527800e-13    5.100000e+03    4.125300e+04    2.000000e+01    5.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.328071e+03    7.761666e-01    3.649052e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    2.102241e-01 
   Model91    1.270000e+04    5.000000e-01    2.527800e-13    5.100000e+03    4.125300e+04    2.000000e+01    5.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.338611e+03    7.947938e-01    3.678013e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    2.092202e-01 
   Model92    1.280000e+04    5.000000e-01    2.527800e-13    5.100000e+03    4.125300e+04    2.000000e+01    5.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.349152e+03    8.137167e-01    3.706973e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    2.075424e-01 
   Model93    1.290000e+04    5.000000e-01    2.527800e-13    5.100000e+03    4.125300e+04    2.000000e+01    5.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.359692e+03    8.329376e-01    3.735934e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    2.058930e-01 
