    Model#             age              Cs          Omega0           tstar       R_env_max       theta_cav  rho_cav_center    rho_cav_edge           rstar      M_disk_dot          M_disk            beta            h100         rho_cav           d_sub       M_env_dot           R_inf           R_cen           mstar      percentile        absolute        relative      view_angle      total_mass 
   Model16    1.000000e+04    5.000000e-01    1.000000e-13    5.100000e+03    4.125300e+04    2.000000e+01    7.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.054025e+03    6.072365e-02    2.896073e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    2.037327e-01 
   Model17    1.000000e+04    5.000000e-01    1.000000e-13    5.100000e+03    4.125300e+04    2.000000e+01    8.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.054025e+03    6.072365e-02    2.896073e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    2.037407e-01 
   Model18    1.000000e+04    5.000000e-01    1.000000e-13    5.100000e+03    4.125300e+04    2.000000e+01    9.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.054025e+03    6.072365e-02    2.896073e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    2.037488e-01 
   Model19    1.000000e+04    5.000000e-01    1.000000e-13    5.100000e+03    4.125300e+04    2.000000e+01    1.000000e-18    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.054025e+03    6.072365e-02    2.896073e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    2.037569e-01 
   Model20    1.000000e+04    5.000000e-01    1.000000e-13    5.100000e+03    4.125300e+04    2.000000e+01    1.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.054025e+03    6.072365e-02    2.896073e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    2.036842e-01 
   Model21    1.000000e+04    5.000000e-01    1.000000e-13    5.100000e+03    4.125300e+04    2.000000e+01    2.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.054025e+03    6.072365e-02    2.896073e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    2.036923e-01 
   Model22    1.000000e+04    5.000000e-01    1.000000e-13    5.100000e+03    4.125300e+04    2.000000e+01    3.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.054025e+03    6.072365e-02    2.896073e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    2.037004e-01 
   Model23    1.000000e+04    5.000000e-01    1.000000e-13    5.100000e+03    4.125300e+04    2.000000e+01    4.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.054025e+03    6.072365e-02    2.896073e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    2.037084e-01 
   Model24    1.000000e+04    5.000000e-01    1.000000e-13    5.100000e+03    4.125300e+04    2.000000e+01    5.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.054025e+03    6.072365e-02    2.896073e-01    9.500000e+01    2.000000e+00    1.020000e+00    3.400000e+01    2.037165e-01 
   Model25    1.000000e+04    5.000000e-01    1.000000e-13    5.100000e+03    4.125300e+04    2.000000e+01    5.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.054025e+03    6.072365e-02    2.896073e-01    9.500000e+01    2.000000e+00    1.020000e+00    3.600000e+01    2.037165e-01 
